annotation_id,annotator,created_at,environment,id,lead_time,other,price,quality,sentence,service,updated_at
1716,1,2025-06-23T04:22:47.438582Z,,1161,4.667,,,Positive,i like the food ,,2025-06-23T04:22:47.438582Z
,,,,,,,,,,,
1717,1,2025-06-23T04:23:06.122617Z,,1161,18.355,,,,but never order food online you ll get very cold food  inspite of instructions  to name a few samosa s  veg biryani ,Negative,2025-06-23T04:23:06.122617Z
,,,,,,,,,,,
1718,1,2025-06-23T04:23:11.199780Z,,1161,4.741,Positive,,,etc   you ll definitely regret ,,2025-06-23T04:23:11.199780Z
,,,,,,,,,,,
1719,1,2025-06-23T04:23:48.220703Z,,1162,36.722,,Negative,,so less quantity at so high rate,,2025-06-23T04:23:48.220703Z
,,,,,,,,,,,
1720,1,2025-06-23T04:23:52.668259Z,,1163,4.119,,,Neutral,the food here was ok ,,2025-06-23T04:23:52.668259Z
,,,,,,,,,,,
1721,1,2025-06-23T04:23:57.934661Z,,1163,4.956,,,,but the service was worst ever ,Negative,2025-06-23T04:23:57.934661Z
,,,,,,,,,,,
1722,1,2025-06-23T04:24:51.610805Z,,1163,53.381,,,,if you have    hrs free time to spend then come here ,Negative,2025-06-23T04:24:51.610805Z
,,,,,,,,,,,
1723,1,2025-06-23T04:24:57.148932Z,,1163,5.249,,,,the service is slow as sloth ,Negative,2025-06-23T04:24:57.148932Z
,,,,,,,,,,,
1724,1,2025-06-23T04:25:12.574882Z,,1163,9.366,,,,we ordered starters got it after   min ,Positive,2025-06-23T04:25:19.599680Z
,,,,,,,,,,,
1725,1,2025-06-23T04:25:24.155569Z,,1163,3.143,,,,then got lunch after an hour ,Negative,2025-06-23T04:25:24.155569Z
,,,,,,,,,,,
1726,1,2025-06-23T04:25:38.981166Z,,1163,14.459,,,,i guess they forget orders after you give them  you have to remind them atleast twice or thrice to get it ,Negative,2025-06-23T04:25:38.981166Z
,,,,,,,,,,,
1727,1,2025-06-23T04:26:24.190945Z,Negative,1164,44.891,,,Negative,pathetic and horrible experience ambience and hospitality   food   chairs and tables were broken food is cold and tasteless buffet arrangement is not good could be a bit more spacious,,2025-06-23T04:26:24.190945Z
,,,,,,,,,,,
1728,1,2025-06-23T04:26:30.202527Z,Positive,1165,5.724,,,,the bar ambiance is good ,,2025-06-23T04:26:30.202527Z
,,,,,,,,,,,
1729,1,2025-06-23T04:26:36.828198Z,,1165,6.281,,,Neutral,we ordered chilli broccoli and that had mix of broccoli and cauliflower ,,2025-06-23T04:26:36.828198Z
,,,,,,,,,,,
1730,1,2025-06-23T04:26:45.787762Z,,1165,8.648,,,Positive,broccoli was tasty  ,,2025-06-23T04:26:45.787762Z
,,,,,,,,,,,
1731,1,2025-06-23T04:27:02.764689Z,Negative,1165,16.691,,,,it is at the outer area so there was problem for booking a cab also at      pm while returning,,2025-06-23T04:27:02.764689Z
,,,,,,,,,,,
1732,1,2025-06-23T04:27:09.120861Z,,1166,6.029,,,,rotis are not delivered hot  not satisfied with ordered ,Negative,2025-06-23T04:27:09.120861Z
,,,,,,,,,,,
1733,1,2025-06-23T04:27:45.890894Z,,1167,36.465,,,Negative,hi tech bawarchi food is not pretty well ,,2025-06-23T04:27:45.890894Z
,,,,,,,,,,,
1734,1,2025-06-23T04:28:48.580308Z,,1167,62.385,,,Negative,masala not there and chicken also very small piece and quantity of rice is also low following this raita also very low quantity   not satisfyable if you feel hungry   ,,2025-06-23T04:28:48.580308Z
,,,,,,,,,,,
1735,1,2025-06-23T04:28:51.708391Z,,1168,2.796,,,,went for team lunch ,,2025-06-23T04:28:51.708391Z
,,,,,,,,,,,
1736,1,2025-06-23T04:29:03.445712Z,,1168,11.39,Negative,,,have been here in the past too but experience this time was not at all good ,,2025-06-23T04:29:03.445712Z
,,,,,,,,,,,
1737,1,2025-06-23T04:29:12.125771Z,,1168,8.326,,,Negative,food was not good especially the ones that were refilled ,,2025-06-23T04:29:12.125771Z
,,,,,,,,,,,
1738,1,2025-06-23T04:34:16.932490Z,,1168,304.12,,,,it appeared as if chef changed in between ,,2025-06-23T04:34:16.933073Z
,,,,,,,,,,,
1739,1,2025-06-23T04:34:46.800613Z,,1168,29.571,,,Negative,breads were too dense  desserts too sweet  chicken overcooked ,,2025-06-23T04:34:46.800613Z
,,,,,,,,,,,
1740,1,2025-06-23T04:34:55.379013Z,,1168,8.283,,,,most disappointing was the service which is not at all expected from a brand like hyatt ,Negative,2025-06-23T04:34:55.379013Z
,,,,,,,,,,,
1741,1,2025-06-23T04:34:58.677581Z,,1168,2.999,,,,very slow service with a i don t care attitude ,Negative,2025-06-23T04:34:58.677581Z
,,,,,,,,,,,
1742,1,2025-06-23T04:35:02.749192Z,,1168,3.719,,,,had to wait very long for some of the requests ,Negative,2025-06-23T04:35:02.749192Z
,,,,,,,,,,,
1743,1,2025-06-23T04:35:09.249338Z,Positive,1168,4.815,,,,the only good thing was probably the decor ,,2025-06-23T04:35:09.249338Z
,,,,,,,,,,,
1744,1,2025-06-23T04:35:14.153990Z,,1168,4.61,Negative,,,and no one will come back only for that ,,2025-06-23T04:35:14.153990Z
,,,,,,,,,,,
1745,1,2025-06-23T04:35:21.633038Z,,1169,7.173,,,Negative,extremely disappointed with the food taste we have ordered kodi roast which was average when compared to godavari royyala vepudu we usually expect dry item when it is named as vepudu but we got gravy and semi gravy items same experience with two more items kakathiya mamsam vepudu biryani and kodi vepudu biryani  ,,2025-06-23T04:35:21.634037Z
,,,,,,,,,,,
1746,1,2025-06-23T04:35:37.569138Z,,1169,15.595,,Negative,Negative,even the prices are extremely high if taste is better no one would be bothered about price  ,,2025-06-23T04:35:37.569138Z
,,,,,,,,,,,
1747,1,2025-06-23T04:35:42.540067Z,,1170,6.416,,,Neutral,after going through the amazing reviews i tried red velvet cupcakes ,,2025-06-23T04:35:54.412539Z
,,,,,,,,,,,
1748,1,2025-06-23T04:35:56.696992Z,,1170,8.737,,,Negative,honestly it s not worth at all ,,2025-06-23T04:35:56.696992Z
,,,,,,,,,,,
1749,1,2025-06-23T04:36:02.849930Z,,1170,5.83,,,Negative,the frosting on cupcake wasn t fresh ,,2025-06-23T04:36:02.849930Z
,,,,,,,,,,,
1750,1,2025-06-23T04:36:06.810228Z,,1170,5.069,,,Negative,it tasted below average cake ,,2025-06-23T04:36:09.700818Z
,,,,,,,,,,,
1751,1,2025-06-23T04:36:13.602176Z,,1170,2.82,,Negative,,not worth the money ,,2025-06-23T04:36:13.602176Z
,,,,,,,,,,,
1752,1,2025-06-23T04:36:21.323524Z,,1171,7.429,,,,we went to the first floor confused whether to go to shanghai chef or kobe s  later to realise they are in the same restaurant  i e they share floor space  ,,2025-06-23T04:36:21.323524Z
,,,,,,,,,,,
1753,1,2025-06-23T04:36:23.440208Z,,1171,1.795,,,,we decided to order chinese ,,2025-06-23T04:36:23.440208Z
,,,,,,,,,,,
1754,1,2025-06-23T04:36:25.869551Z,,1171,2.118,,,,we had the dimsum platter        kung pao chicken        dragon prawns       and fried ice cream       ,,2025-06-23T04:36:25.869551Z
,,,,,,,,,,,
1755,1,2025-06-23T04:36:30.088254Z,,1171,3.893,,,Negative,the chicken was hard inside  not indicative of fresh chicken   the prawns were sweet and the dimsums had thick coatings ,,2025-06-23T04:36:30.088254Z
,,,,,,,,,,,
1756,1,2025-06-23T04:36:34.359284Z,,1171,3.916,Negative,,,i did not enjoy my time at shanghai chef ,,2025-06-23T04:36:34.359284Z
,,,,,,,,,,,
1757,1,2025-06-23T04:36:39.575135Z,,1171,4.897,,,,so maybe when you re there  just try the sizzler ,,2025-06-23T04:36:39.575135Z
,,,,,,,,,,,
1758,1,2025-06-23T04:36:45.840804Z,,1171,5.975,,,,ill update my review when i have it ,,2025-06-23T04:36:45.840804Z
,,,,,,,,,,,
1759,1,2025-06-23T04:36:48.345459Z,,1171,2.21,,,,kobe s is a really famous chain for sizzlers ,,2025-06-23T04:36:48.345459Z
,,,,,,,,,,,
1760,1,2025-06-23T04:36:53.934954Z,,1172,5.306,,,Negative,really small portions and avg tatse ,,2025-06-23T04:36:53.934954Z
,,,,,,,,,,,
1761,1,2025-06-23T04:36:58.119168Z,,1172,3.86,Negative,,,there are tons of places much better ,,2025-06-23T04:36:58.119168Z
,,,,,,,,,,,
1762,1,2025-06-23T04:37:11.899352Z,Positive,1173,13.447,,,Negative,nice ambience  wonderful service but not so wonderful food ,Positive,2025-06-23T04:37:11.899352Z
,,,,,,,,,,,
1763,1,2025-06-23T04:37:16.861767Z,,1173,4.63,,,Negative,ordered the thai green curry  was just a watery mess  probably the worst ever had ,,2025-06-23T04:37:16.861767Z
,,,,,,,,,,,
1764,1,2025-06-23T04:37:23.573278Z,,1173,6.379,,,Negative,kung pao chicken was overly sweet  the noodles were just tossed around in a few eggs and probably   pieces of chicken ,,2025-06-23T04:37:23.573278Z
,,,,,,,,,,,
1765,1,2025-06-23T04:37:28.695761Z,,1173,4.784,,,Negative,the rice was very dry giving us an overall average experience ,,2025-06-23T04:37:28.695761Z
,,,,,,,,,,,
1766,1,2025-06-23T04:37:30.792970Z,,1174,5.355,,,,i ordered thai chicken rice ,,2025-06-23T04:39:01.960075Z
,,,,,,,,,,,
1767,1,2025-06-23T04:37:43.796400Z,,1174,7.443,,Negative,,first of all  it is on the expensive side ,,2025-06-23T04:37:43.796400Z
,,,,,,,,,,,
1768,1,2025-06-23T04:37:54.319966Z,,1174,10.185,,,Negative,second  the quantity wasn t good  third it was spicy ,,2025-06-23T04:37:54.319966Z
,,,,,,,,,,,
1769,1,2025-06-23T04:38:11.869159Z,,1174,17.22,,,Negative,seems like they are spending more on fancy packaging than the actual food ,Positive,2025-06-23T04:38:11.869159Z
,,,,,,,,,,,
1770,1,2025-06-23T04:38:55.274964Z,,1175,42.87,,,,i ordered amritsari nan and chana masala ,,2025-06-23T04:38:55.275978Z
,,,,,,,,,,,
1771,1,2025-06-23T04:39:19.166486Z,,1175,5.34,,,Negative,nan was bit ok but chana was worthless ,,2025-06-23T04:39:19.166486Z
,,,,,,,,,,,
1772,1,2025-06-23T04:39:33.658918Z,,1175,15.899,,,Negative,it s raw and cooked in shahi paneer gravy ,,2025-06-23T04:39:39.983947Z
,,,,,,,,,,,
1773,1,2025-06-23T04:39:51.007276Z,,1175,9.967,Negative,,,will never order food from here,,2025-06-23T04:39:51.007276Z
,,,,,,,,,,,
1774,1,2025-06-23T04:39:52.841616Z,,1176,1.518,,,,we went for lunch buffet ,,2025-06-23T04:39:52.841616Z
,,,,,,,,,,,
1775,1,2025-06-23T04:40:48.671331Z,,1176,55.481,,,Negative,very limited options for starter     non veg   chicken and   fish  and   veg   potato and   paneer  ,,2025-06-23T04:40:48.671331Z
,,,,,,,,,,,
1776,1,2025-06-23T04:40:51.626250Z,,1176,2.642,,,Negative,they were serving the starter cold ,,2025-06-23T04:40:51.626250Z
,,,,,,,,,,,
1777,1,2025-06-23T04:41:39.824787Z,,1176,47.862,,Negative,,the tawa fish was over spicy and they didn t prepare a lesser spicy version of that even after our request ,Negative,2025-06-23T04:41:39.824787Z
,,,,,,,,,,,
1778,1,2025-06-23T04:41:43.326364Z,,1176,3.173,,,Positive,only chicken wings was good ,,2025-06-23T04:41:43.326364Z
,,,,,,,,,,,
1779,1,2025-06-23T04:41:45.983170Z,,1176,2.339,,,Positive,main course was kind of good ,,2025-06-23T04:41:45.983170Z
,,,,,,,,,,,
1780,1,2025-06-23T04:41:48.385492Z,,1176,2.101,,,Positive,egg fried rice and veg noodles were good ,,2025-06-23T04:41:48.385492Z
,,,,,,,,,,,
1781,1,2025-06-23T04:41:51.258379Z,,1176,2.548,,,Negative,chicken biriyani was stale ,,2025-06-23T04:41:51.258379Z
,,,,,,,,,,,
1782,1,2025-06-23T04:41:53.084554Z,,1176,1.515,,,Positive,dessert was good ,,2025-06-23T04:41:53.084554Z
,,,,,,,,,,,
1783,1,2025-06-23T04:41:56.432609Z,,1176,3.024,,,Positive,chocolate cake  gulaab jamoon and ice cream were good ,,2025-06-23T04:41:56.432609Z
,,,,,,,,,,,
1784,1,2025-06-23T04:42:11.249909Z,,1176,14.521,,,Negative,semiya kheer was horrible ,,2025-06-23T04:42:11.249909Z
,,,,,,,,,,,
1785,1,2025-06-23T04:42:14.733393Z,,1177,3.15,,,,heard a lot about this small food joint and the north indian stuff they make ,,2025-06-23T04:42:14.733393Z
,,,,,,,,,,,
1786,1,2025-06-23T04:42:25.672044Z,,1177,10.632,,Negative,Negative,should say i m disappointed  looks like the quality is not the same as before  even the price is a bit high compared to other places with similar taste ,,2025-06-23T04:42:25.672044Z
,,,,,,,,,,,
1787,1,2025-06-23T04:43:01.908973Z,,1178,35.922,Negative,,,i am sorry to say this but nothing  i mean nothing in this place was exceptionally good ,,2025-06-23T04:43:01.908973Z
,,,,,,,,,,,
1788,1,2025-06-23T04:43:41.714754Z,Negative,1178,39.474,,,Negative,from food  to taste  to hygiene  to the supporting staff  to the ambience   nothing just made me food good and welcomed ,Negative,2025-06-23T04:43:41.714754Z
,,,,,,,,,,,
1789,1,2025-06-23T04:43:51.939932Z,,1178,9.906,,,Negative,we were a group of people who went there and none of us were happy with the food  or the food spread  or the taste specially ,,2025-06-23T04:43:51.939932Z
,,,,,,,,,,,
1790,1,2025-06-23T04:43:56.459351Z,,1178,4.186,,,Neutral,i remember nothing from what i ate as extraordinarily good ,,2025-06-23T04:43:56.459351Z
,,,,,,,,,,,
1791,1,2025-06-23T04:44:01.878403Z,,1178,5.09,,,,i have been to westin buffet  novotel buffet  trident buffet  avasa buffet and alllllll were way way better than this place ,,2025-06-23T04:44:01.878403Z
,,,,,,,,,,,
1792,1,2025-06-23T04:44:09.062937Z,Negative,1178,6.872,,,,there has been absolutely no work done on the ambience to look pretty or attractive ,,2025-06-23T04:44:09.062937Z
,,,,,,,,,,,
1793,1,2025-06-23T04:44:13.141097Z,,1178,3.778,,,,it also wasn t that clear like other restau ,,2025-06-23T04:44:13.141097Z
,,,,,,,,,,,
1794,1,2025-06-23T04:44:17.049329Z,Negative,1178,3.613,,,,the place did not even smell good ,,2025-06-23T04:44:17.049329Z
,,,,,,,,,,,
1795,1,2025-06-23T04:44:20.377401Z,,1178,2.972,Negative,,,i would never visit this place ,,2025-06-23T04:44:20.377401Z
,,,,,,,,,,,
1796,1,2025-06-23T04:44:48.659234Z,,1179,27.952,,,Neutral,food tastes good however had bad experience with freshness of food being served ,,2025-06-23T04:44:48.659234Z
,,,,,,,,,,,
1797,1,2025-06-23T04:44:52.836383Z,,1179,3.839,,,,happened once at eating out at restaurant and second time while ordered home delivery ,,2025-06-23T04:44:52.836383Z
,,,,,,,,,,,
1798,1,2025-06-23T04:44:56.008300Z,,1180,2.843,,,Negative,didn t like the quality ,,2025-06-23T04:44:56.008300Z
,,,,,,,,,,,
1799,1,2025-06-23T04:44:59.221939Z,,1180,2.899,,,Negative,seems like it s been stored,,2025-06-23T04:44:59.221939Z
,,,,,,,,,,,
1800,1,2025-06-23T04:45:02.506360Z,,1181,2.962,,,Negative,not warm,,2025-06-23T04:45:02.506360Z
,,,,,,,,,,,
1801,1,2025-06-23T04:45:17.260647Z,,1182,14.444,,,Neutral,somedays it s decent but somedays it s so not good ,,2025-06-23T04:45:17.260647Z
,,,,,,,,,,,
1802,1,2025-06-23T04:45:22.190007Z,,1182,4.627,,,Negative,yesterday we ordered fish paella and the rice was tasteless just dipped in chilli water ,,2025-06-23T04:45:22.190007Z
,,,,,,,,,,,
1803,1,2025-06-23T04:45:24.773748Z,,1182,2.267,,,Negative,i love spicy food but not like this ,,2025-06-23T04:45:24.773748Z
,,,,,,,,,,,
1804,1,2025-06-23T04:45:27.848117Z,,1182,2.765,,,Negative,we also ordered lamb bolognese and for both dishes it looks like they recycled the same generic masala mixture ,,2025-06-23T04:45:27.848117Z
,,,,,,,,,,,
1805,1,2025-06-23T04:45:30.416832Z,,1182,2.272,,,Negative,it was so pungent ,,2025-06-23T04:45:30.416832Z
,,,,,,,,,,,
1806,1,2025-06-23T04:45:32.742911Z,,1183,2.015,,,,ordered online from ola cravings  ,,2025-06-23T04:45:32.742911Z
,,,,,,,,,,,
1807,1,2025-06-23T04:45:34.770352Z,,1183,1.691,,,Negative,donuts were not fresh ,,2025-06-23T04:45:34.770352Z
,,,,,,,,,,,
1808,1,2025-06-23T04:45:36.199362Z,,1183,1.106,,,,i ordered twice  ,,2025-06-23T04:45:36.199362Z
,,,,,,,,,,,
1809,1,2025-06-23T04:45:59.238654Z,,1183,22.738,,,Negative,first time the donut was good but second time i got some stone in the donut which completly spoiled my taste ,,2025-06-23T04:45:59.238654Z
,,,,,,,,,,,
1810,1,2025-06-23T04:46:00.721588Z,,1183,1.173,,,,food       delivery      ,,2025-06-23T04:46:00.721588Z
,,,,,,,,,,,
1811,1,2025-06-23T04:46:05.121950Z,,1184,4.04,,,Negative,not that great taste it quality id say,,2025-06-23T04:46:05.121950Z
,,,,,,,,,,,
1812,1,2025-06-23T04:46:13.022053Z,,1185,7.593,,,Negative,dal was really bad and chinese veg manchurian was actually pieces taken out from gravy,,2025-06-23T04:46:13.022053Z
,,,,,,,,,,,
1813,1,2025-06-23T04:46:14.356038Z,,1186,1.017,,,,went there a week ago ,,2025-06-23T04:46:14.356038Z
,,,,,,,,,,,
1814,1,2025-06-23T04:46:19.272649Z,,1186,4.578,,,Neutral,the foods were average i will rate the food a   out of   ,,2025-06-23T04:46:19.272649Z
,,,,,,,,,,,
1815,1,2025-06-23T04:47:10.308660Z,,1186,50.714,,,Negative,now come to the service   we ordered   butter chicken but they gave us    so had to wait for another      mins to get the other butter chicken  please do not compare the taste of butter chicken if youre from north india   the restaurant looks good from the outside  but inside house flies will accompany you with your food and friends  ,Negative,2025-06-23T04:47:10.308660Z
,,,,,,,,,,,
1816,1,2025-06-23T04:47:13.275764Z,,1187,2.639,,,,ordered steamed veg  paneer and chicken ,,2025-06-23T04:47:13.275764Z
,,,,,,,,,,,
1817,1,2025-06-23T04:47:16.376298Z,,1187,2.777,,,Neutral,chicken was okayish ,,2025-06-23T04:47:16.376298Z
,,,,,,,,,,,
1818,1,2025-06-23T04:47:19.676904Z,,1187,2.971,,,Negative,paneer was nothing but onion ,,2025-06-23T04:47:19.676904Z
,,,,,,,,,,,
1819,1,2025-06-23T04:47:21.875891Z,,1187,1.868,,,Negative,veg is a total no no ,,2025-06-23T04:47:21.875891Z
,,,,,,,,,,,
1820,1,2025-06-23T04:47:25.459740Z,,1187,3.273,,,Negative,on a side note  who gives out mayo with momos  ,,2025-06-23T04:47:25.459740Z
,,,,,,,,,,,
1821,1,2025-06-23T04:47:29.893642Z,,1187,4.127,,Positive,,very pocket friendly though ,,2025-06-23T04:47:29.893642Z
,,,,,,,,,,,
1822,1,2025-06-23T04:47:35.259924Z,Neutral,1188,5.038,,,Neutral,the food and ambience are average  ,,2025-06-23T04:47:35.259924Z
,,,,,,,,,,,
1823,1,2025-06-23T04:47:58.378303Z,,1188,22.796,,,Positive,in starters egg fish and chicken are sort of better  ,,2025-06-23T04:47:58.378303Z
,,,,,,,,,,,
1824,1,2025-06-23T04:48:09.011930Z,,1188,10.321,,,Negative,corn and all other veg ingredients are not up to what you expect it to be and moreover the main coarse is the worst to have  ,,2025-06-23T04:48:09.011930Z
,,,,,,,,,,,
1825,1,2025-06-23T04:48:12.728807Z,,1188,3.366,,,Positive,the desserts are decent and the fruits are the best  ,,2025-06-23T04:48:12.728807Z
,,,,,,,,,,,
1826,1,2025-06-23T04:48:35.358724Z,,1188,22.292,Negative,,,i would not recommend a buffet here because the money you spent here goes down the drain think before you go ,,2025-06-23T04:48:35.358724Z
,,,,,,,,,,,
1827,1,2025-06-23T04:48:45.210892Z,,1188,9.524,,,Negative,the moctails they serves was the worst  ,,2025-06-23T04:48:45.211892Z
,,,,,,,,,,,
