,id,sentence,price,quality,environment,service,other
54,17,the ambience is good though ,,,Positive,,
55,17,if only the food and service were upped then the place could deserve better rating ,,Negative,,Negative,
56,17,all we ate that day was curd rice   the entire team ,,,,,
57,17,i wish you guys could improve and we would try here again ,,,,,
58,18,i am from mumbai  i ordered it from my hotel in hitech city  from swiggy ,,,,,
59,18,i ordered chicken pot rice  pot rice is usually wet n not dry  this one was actually dry and it wasn t made with the wet gravy how pot rice is actually made  and they made chinesee like biryani  seriously ,,Negative,,,
60,18,garam masala in the pot rice was a big turn off ,,,,,
61,18,it was actually hydrabadi pot rice lol ,,,,Negative,
62,19,i have had high regards for khansaab over years  eversince they ve started in gvkone ,,,,,
63,19,today i was disappointed with their service and how they ve handled an issue  reg soup  reported ,,,,Negative,
64,19,even the manager at gachibowli proved useless   i never thought i will write such a review for khan saab ,,,,Negative,
65,20,pathetic and rude staff ,,,,Negative,
66,20,slowest service ,,,,Negative,
67,20,they had tables free at terrace and at lower floor but still they say that its full ,,,,Negative,
68,20,so that there upper floor gets full first which is not good ,,,,Negative,
69,20,will never visit again ,,,,,Negative
70,21,worst service ,,,,Negative,
71,21,strictly nor recommended for family and decent people ,,,,,Negative
72,21,taste is below average ,,Negative,,,
73,21,big no for this place   stay away ,,,,,Negative
74,21,worst service ever,,,,Negative,
75,22,what a hopeless restaurant ,,,,,Negative
76,22,never experienced such horrific and unprofessional restaurant ,,,,Negative,
77,22,if you order a dish  be assured you will get cheaper   stale and some other item ,,,,Negative,
78,22,i have ordered chicken manchurian and egg noodle box  i received old stake gobi munchurian with just minimum two three spoon of pathetic noodle ,,Negative,,Negative,
79,22,please dont dare do visit there,,,,,Negative
80,23,very spicy food ,,Neutral,,,
81,23,even the soup was ultra spicy ,,Neutral,,,
82,23,starters were average ,,Neutral,,,
83,23,main course could have more variety and some taste ,,Negative,,,
84,23,even the desserts were not good ,,Negative,,,
85,24,worst food ever     ,,Negative,,,
86,24,very bad taste  i will give negative rating   no dishes were properly made very bad experience ,,Negative,,,
87,24,just name is big but no quality and taste maintained,,Negative,,,
88,25,very very bad sooo waste taste less dont take order online very very bad sooo waste taste less dont take order online ,,Negative,,,
89,25,very very bad sooo waste taste less dont take order online,,Negative,,,
90,26,horrible place nothing for vegetarians service is awful paneer was not properly cooked corn cubes were hopeless we had to wait for an hour to get vegetarian starters the main course for vegetarian dishes was empty,,Negative,,Negative,
91,27,if you are looking for north indian food in hyderabad then do not visit this place ,,,,,Negative
92,27,the waiters will not listen if food is late  manager is totally uncivilized  tries to peek into customers wallet and also talks rudely  ,,,,Negative,
93,27,we ordered    1  daal makhani  not even average   2  paneer  serverd with hair in it   3  biriyani  below average   4  tandoori roti  5  sweet lassi  after finishing the food  they will serve you finger bowl with food particles already present in it    ,,Negative,,,
94,27,food   0 5  staff   0 5  ambience   1 5  hygiene   0 5  i will never recommend this place to anyone ,,Negative,Negative,Negative,
95,27,theglobetrotterlady com,,,,,
96,28,today i have ordered cashew polau from zomato  i have received the parcel box unpacked and seems some part of food item from one side has taken out of box ,,,,Negative,
97,28,i have reported to zomato as well  but from next time onwards i will make sure not to order from this restaurent ,,,,,Negative
98,29,we ordered food for home delivery with one line instruction   garlic bread to be prepared without spices  which was not fulfilled ,,,,Negative,
99,29,this was ok  what wasn t was delivery of chicken ,,,,Negative,
100,29,we ordered vegetarian cheese balls and we received chicken ,,,,Negative,
101,29,can we ever trust you again  frio bistro ,,,,,
102,30,i ve ordered their keema pav on swiggy and i was very dissatisfied with it ,,Negative,,,
103,30,the keema was stale and blubbery ,,Negative,,,
104,30,their is lot of fat and meat was very minimal ,,Negative,,,
105,30,i couldn t finish even half of the portion served ,,Negative,,,
106,30,and it was very clear that the dish mutton is not fresh ,,Negative,,,
107,30,please check with them if you really wanna try this dish ,,,,,
108,30,ps  it had a bad effect on my tummy as well ,,Negative,,,
109,31,too bad but tasty,,Positive,,,Negative
110,32,ordered kadhi pakoda rice combo  nov 2018  ,,,,,
111,32,it was extremely bad ,,Negative,,,
112,32,the rice seemed to be cooked with a lot of baking soda ,,Negative,,,
113,32,kadhi was awful to taste ,,Negative,,,
114,32,avoid this dish ,,Negative,,,
115,33,pathetic ,,,,,Negative
116,33,don t order through them ,,,,,Negative
117,33,neither do they have the decency of answering calls and informing nor do they have people to deliver ,,,,Negative,
118,33,disappointing ,,,,,Negative
119,34,worst experience in parcel of zaffron motton regular biryani no mutton piecec found i  biryani bill is 158   with gst    ,Negative,Negative,,,
120,34,fooling public in parcel   dont take pacel frm pista house    ,,Negative,,,
121,34,very bad experience simply looting public money on parcels of biryani      ,,Negative,,,
122,35,having heard a lot about this place  specially their triveni biryani  i came here once and ordered food 3 4 times   the last time i purchased food here would actually be the last time i would eat from here ,,,,,Negative
123,35,this restaurant is a classic example of how it started on a grand note and ended up being just another restaurant with hygiene issues ,,,,,Negative
124,35,to cut the long chase short  i had purchased 2 items ,,,,,
125,35,1 paneer tikka biryani and bhimwaram pulav  take aways   in spite of telling them  both items were very spicy ,,Neutral,,Negative,
126,35,my wife and i were struggling with the food ,,Negative,,,
127,35,now to top it  i found a flying insect  not a cockroach but something else with wings  that got cooked with the paneer tikka biryani ,,Negative,,,
128,35,alas  that was so repulsive that i left the food mid way and satiated my hunger with curd rice  i m never going back to them,,Negative,,,
129,36,didn t find any taste in chicken momos  the veg momos were horrible   stuff inside the momos were not boiled properly   will never order from them again,,Negative,,,
130,37,one of the best worst place   biryani is too worst   but their strtegy is too good   they dont have ac but if we sit and eat the price is double  irresponsible serice   better to go to almas r biryanis   good bye  will never visit again,Negative,,Negative,,
131,38,i got very sick after having this food,,Negative,,,
132,39,i am very very biryani lover and i tried the behrouz biryani and it was worst ,,Negative,,,
133,39,taste is too bad   ,,Negative,,,
134,39,packing is too good but taste is too bad,,Negative,,Positive,
135,40,no taste in food  starters were served cold  probably it was already cooked so waiter suggested us that dish ,,Negative,,,
136,40,it is expensive and not worth at all ,Negative,,,,
137,40,they are trying to be over authentic and spoiling the basic taste of food ,,Negative,,,
138,40,rotis are very hard and ulavacharu biryani is too much masala and no tasty ,,Negative,,,
139,40,not suggested to visit ,,,,,Negative
140,41,after all confirmation and payment  this restaurant has canceled my order while i had no other option to get food ,,,,Negative,
141,41,i m unsatisfied with this restaurant ,,,,,Negative
142,42,biryani tastes stale highly unethical service ,,Negative,,Negative,
143,42,they will charge you 40rs for a 20rs coke 250 ml  ,Negative,,,,
144,42,never ever go or order anything from these cheaters ,,,,Negative,
145,42,and even after calling the restaurant multiple times they won t pick up the call rather they will disconnect it ,,,,Negative,
146,43,horrible  i ordered 1 special and 2 regular shawarma ,,,,,
147,43,we got 3 regular shawarma ,,,,Negative,
148,43,pathetic experience ,,,,,Negative
149,43,i m satisfied with the person who delivered  please let him have the credit for the delivery,,,,Positive,
150,44,went there   around 10 45pm  was really hungry ,,,,,
151,44,had heard a lot about this place ,,,,,
152,44,food was not good at all  roti s  tandoori  could easily be confused with papad  both were so thin and cold ,,Negative,,,
153,44,sabzi was cold and seems like they didn t care about customer ,,Negative,,,
154,44,even at that time when we were the only table operating there was so much delay for someone to attend our table ,,,,Negative,
155,44,not visiting this place ever again ,,,,,Negative
156,45, delivery  poor customer support ,,,,Negative,
157,45,both me and zomato were unable to contact restaurant ,,,,Negative,
158,45,restaurant didn t update status in app as well ,,,,Negative,
159,45,after 3 hours a guy called me that he is out to deliver the food ,,,,,
160,45,which is hours after i requested zomato customer care and cancelled my order ,,,,Negative,
161,45,and it happened second time ,,,,Negative,
162,45,earlier they answered but said it will take one and half hour i waited and not delivered ,,,,Negative,
163,45,this is my second bad experience   ,,,,,Negative
164,45,very sad about it ,,,,,Negative
165,46,very bad and untasty food ,,Negative,,,
166,46,i doubt if it was even fresh ,,Negative,,,
167,46,the chicken looked so unhygienic and old ,,Negative,,,
168,46,i wouldn t recommend this place to anyone ,,,,,Negative
169,47,very bad quality of food ,,Negative,,,
170,47,the nans and rotis were like papad and the curry was also not good ,,Negative,,,
171,48,sadly our visit to hyatt wasn t the type one would want to remember ,,,,,Negative
172,48,we were attempting to use zomato gold   out of the 4 of us  2 had gold and to start with they told us we would need to physically sit on different tables to use both gold memberships ,,,,Negative,
173,48,note   it was 2 30 at night and the whole restaurant was completely empty ,,,,,
174,48,we suggested let s do two bills and create the notion of 2 tables if needed  why though i don t know  zomato clearly says there is no limit of how many gold s can be used at a table  but even that was not agreeable  they just kept repeating we would need to physically move to two separate tables  ,,,,Negative,
175,48,needless to say  the visit just went down hill from there     not recommended,,,,,Negative
176,49,the food packing is very good  but the food taste is very worse  i m very disappointed,,Negative,,Positive,
177,50,went to this place for lunch ,,,,,
178,50,ordered and paid  waited for 25 minutes and realise that order has not been placed ,,,,Negative,
179,50,the place had more people serving than the people eating and yet this happened and everyone was blaming everyone else ,,,,Negative,
180,50,there were flies all over the place ,,,Negative,,
181,50,poor show ,,,,,Negative
182,50,had to skip lunch because of their error,,,,Negative,
183,51,the place is not soo good ,,,Negative,,
184,51,staff is very arogant and doesnt care abt custor service ,,,,Negative,
185,51,initially they served drinks in plastic glasses and doesnt even have normal glasses to serve drinks ,,,,Negative,
186,51,manager is using abusive language when requested for normal glasses  ,,,,Negative,
187,52,i was here last night with 2 of my friends ,,,,,
188,52,we ordered pan fried noodles  chinese pavilion noodles pan fried and spicy black bean lamb ,,,,,
189,52,food was spicy and tasted fine ,,Positive,,,
190,52,i have had better pan fried ,,,,,
191,52,the food quality needs to be definitely checked ,,Negative,,,
192,52,we don t expect this from a restaurant of your stature ,,,,,
193,52,never going back and requesting others the same ,,,,,Negative
194,53,well the order firstly came way beyond it s time and didn t came what was ordered originally ,,,,Negative,
195,54,order was late so called the restaurant ,,,,Negative,
196,54,they started yelling the moment he picked the call saying    we are not responsible ,,,,Negative,
197,54,see before calling ,,,,,
198,54,and was extremely rude    ,,,,Negative,
199,54,clearly they have no regard for customer and hence very well explains why the food is cheap,,Negative,,Negative,
200,55,not good,,,,,Negative
201,56,shitty place    shitty service    shitty management    not again    not always brand will work  ,,,Negative,Negative,
202,56,think twice before u check in   wrost place in recent times ,,,,,Negative
203,57,2vegs instead of 2veg 2 nonveg,,,,Negative,
204,58,damn too much oil  i can make another curry out of it  that much,,Negative,,,
205,59,very bad management ,,,,Negative,
206,59,they are a cheat ,,,,Negative,
207,59,firstly they denied me the 20  flat discount coupon which i had taken from dine out ,,,,Negative,
208,59,over charged our liquor ,Negative,,,,
209,60,totally overrated just avoid this place unless you wanna loose your money for a cheap quality food there s only one guy who does all the service and you have to wait long for your turn to come up and the place looks like some forbidden house,,Negative,Negative,Negative,
210,61,vegetables are not cooked properly waste of money,,Negative,,,
211,62,the worst ever pancakes ,,Negative,,,
212,62,i m not even kidding ,,,,,
213,62,it s a total waste of money ,,,,,Negative
214,62,and they delivered something way different than what was mentioned in the menu ,,,,Negative,
215,62,hope they improve  ,,,,,
216,63,staff is very reckless and they are least bother about the customer ,,,,Negative,
217,63,we left without having lunch for keeping wait for more then 30 mins and the manager even not ask us to wait ,,,,Negative,
218,63,he went inside to cancel the order,,,,,
219,64,we went for a team lunch ,,,,,
220,64,worst food ever i had in recent times ,,Negative,,,
221,64,rotten smell in fish n chicken ,,Negative,,,
222,64,never ever visit this place i wonder how this restaurant got those awards,,,,,Negative
223,65,booking a place here for a corporate package is absolutely horrendous ,,,,,Negative
224,65,they provided the menu and package details on friday and confirmed its available  and on monday   the day of the event   management was rude and was insisting they ll not provide the buffet but will charge the same price as per the package ,,,,Negative,
225,65,they did not have minimum courtesy and were not even respecting the fact that our manager   a lady   was trying to talk ,,,,Negative,
226,65,this is probably the worst ever team i had ever talked to ,,,,Negative,
227,65,very disappointing ,,,,,Negative
228,65,this has resulted in cancellation of our corporate party which consisted of several partners and managing directors ,,,,,
229,65,i d never recommend this place to anyone ,,,,,Negative
230,66,i visited the place yesterday for lunch with my family ,,,,,
231,66,this is usually a most loved place by all my family members and me for a casual dining ,,,,,
232,66,but yesterday it is a very bad experience we noticed the manger is changed ,,,,,Negative
233,66,it took 20 minutes to find some one to take the order ,,,,Negative,
234,66,then it took him almost 30 minutes for the thali ,,,,Negative,
235,66,i called the manager and asked why is it taking so long as we habe only asked a thali and lassi ,,,,Negative,
236,66,then he told us that some of the food got over so we are preparing it again so only it is taking so much time ,,,,,
237,66,but is was courtesy that he could have informed us that it is going to take time ,,,,Negative,
238,66,after 40 minutes the food was served ,,,,Negative,
239,66,but the lassi again took a very long time we cancelled the order and moved out ,,,,Negative,
240,67,too much attitude display by all staff ,,,,Negative,
241,67,need to be taught manners regarding how to be courteous to guests ,,,,Negative,
242,67,only ambience  food just about ok ,,Positive,Positive,,
243,68,worst quality  we found spider at glass of beer and we informed to them but there was no response from their side ,,Negative,,Negative,
244,68,it s very bad experience with this bar,,,,,Negative
245,69,worst service experienced ever ,,,,Negative,
246,69,nobody is concerned about even taking the order ,,,,Negative,
247,69,its just waste of our evening ,,,,,Negative
248,69,not as expected ,,,,,Negative
249,69,this review is completely for the service we received ,,,,,
250,70,horrible food   ,,Negative,,,
251,70,the noodles and the so called starter which basically was gobi fried to death looked and tasted like they were living in oil well all their life and had come out for once to give me the scare of my life  ,,Negative,,,
252,70,bland horrible highly unhealthy trash never eat here worst experience  wish there was a negative starring system,,Negative,,,
253,71,i ordered paneer tikka biryani and got some non veg biryani ,,,,Negative,
254,71,very bad services from both restaurant as well as zomato ,,,,Negative,
255,71,i m a pure vegetarian and this was really really bad ,,,,,
256,72,irresponsible restaurant  ,,,,Negative,
257,72,please don t order any food from there ,,,,,Negative
258,72,i ordered mushroom masala   not good in taste  and 3 different types of roti s and in place of roti s they people are delivering white rice ,,Negative,,Negative,
259,72,moreover   when i tried calling restaurant number   they are not in use ,,,,Negative,
260,73,worst place and worst service   without any prior intimation they stopped taking orders   for a crispy corn they took 1 hour   will never recommend this place  ,,,,Negative,
261,74,worst place went soo far  don t believe in pictures  quality of food is worst  dj was very very very bad ,,Negative,,,
262,74,disgusting place ,,,Negative,,
263,74,seen in zomato impressed with pictures but came to a worst place,,,,,Negative
264,75,we found insect in the beer  we informed to the management but the way of their behaviour is worst ,,Negative,,Negative,
265,75,this is not good and bad experience in this bar ,,,,,Negative
266,76,visited the place on a weekday but it was jam packed with people ,,,,Negative,
267,76,the music was too loud to the point that we would not able to discuss on what to order across the table ,,,Negative,,
268,76,i have been to many places but never had such loud music ,,,,,
269,76,my ears were ringing after coming out ,,,,,
270,76,the service was the worst   all of my friends went to the dance floor and i was stopped by the staff who asked not to leave the table and asked me to deposit my id card ,,,,Negative,
271,76,this was pretty humiliating ,,,,,Negative
272,76,this place probably sees too many dine   dash incidents given the kind of crowd it caters to ,,,,,
273,76,the food was average at best ,,Neutral,,,
274,76,they entered  200 as tip on the pos machine trying us to pay that for this s   ty service ,,,,Negative,
275,76,the valet meddled with my car s infotainment system ,,,,Negative,
276,76,i will avoid this place from now on and stick to more classy places ,,,,,Negative
277,77,had a lot of expectations when i read the ne for the first time ,,,,,
278,77,was able to visit it after a month ,,,,,
279,77,what a disappointment it was ,,,,,Negative
280,77,it s named sizzler but has nothing close to sizzler ,,,,,
281,77,you guys really need to work on the art of making sizzler ,,,,,
282,77,it looks like sizzler ,,,,,
283,77,it only looks,,,,,
284,78,wrong food  wrong bill  no taste  time waste insects in food  food raw  when metioned this all to the manager he was reluctant to hear the feedback,,Negative,,Negative,
285,79,no wafers sent with the burger,,,,Negative,
286,80,most terrible place ,,,,,Negative
287,80,i used to love chennai 10d and with that brand i went to hyd 10d ,,,,,
288,80,firstly they took cover charge for a couple and they had no seats ,Negative,,,Negative,
289,80,could have told us we have no seats we would not have paid cover charge ,,,,Negative,
290,80,we stood for good 20 mins and then given bad seats near the speaker where one couldn t even talk ,,,,Negative,
291,80,and then the waiters weren t serving us food properly ,,,,Negative,
292,80,had to ask them twice after whicj they took order and when they did they didn t give us cutlery ,,,,Negative,
293,80,can you even imagine   ,,,,,
294,80,i had to ask that give forks  ,,,,Negative,
295,80,      ,,,,,
296,80,i had the worst experience ever of going to a place ,,,,,Negative
297,80,extremely disappointed ,,,,,Negative
298,80,please learn how to manage a crowd ,,,,,
299,80,also i wanted to book my table beforehand ,,,,,
300,80,but the option was not even available on zomato and they won t pick up call ,,,,Negative,
301,80,it just felt they didn t want things to be systematic ,,,,,
302,80,extremely disappointed ,,,,,Negative
303,81,dun bombard the menu with so many things  great hospitality and tasty food is what makes a place happening ,,,,,
304,81,not coming to this place ever again,,,,,Negative
305,82,my pizza looks like they have pieced together the left overs ,,Negative,,,
306,82,the cheese is hard and the slices look old ,,Negative,,,
307,82,i m so disappointed as i order quite frequently from frio and this is the second time i am getting a pizza in this condition from them ,,Negative,,,
308,83,very poor service i went in day time and took 40 min to serve nachos ,,,,Negative,
309,83,food taste very poor ,,Negative,,,
310,83,i could rate this place  ve ,,,,,
311,83,they have speciality to server hot beer ,,,,,
312,83,there staff is not entertaining ,,,,Negative,
313,84,baby corn manchurian was gone bad when it was delivered ,,Negative,,,
314,85,pathetic food ,,Negative,,,
315,85,omelete is having black color on it ,,Negative,,,
316,85,breads are missing ,,,,Negative,
317,85,strawberry toast   something white is there which smells ,,Negative,,,
318,85,pathetic food  ,,Negative,,,
319,85,yakk ,,,,,
320,85,such bad experience ,,,,,Negative
321,85,delivery boy also came 1 hour late ,,,,Negative,
322,85,never gonna order from here  ,,,,,Negative
323,86,disappointment  being one of the famous restaurant chain  had lot of expectations we were made to seat on table with dirty table mats and plates   food quality is worst to the core ,,Negative,,Negative,
324,86,ordered mutton rogan josh which had excess amount of salt  to our suprise staff was least bothered to act on it or accept feedback ,,Negative,,Negative,
325,86,didn t have biryanis available hence had to sacrifice with steamed rice and dal ,,,,Negative,
326,86,would not recommend this restaurant as needs huge improvement in terms of food quality  service and hygiene standards,,Negative,,Negative,
327,87,tried two places in same venue on saturday evening ,,,,,
328,87,in hyper local first  seated outdoor as inside is little loud to my taste at 6 30pm ordered drinks and snacks  spicy chicken wings very hot  average taste  3 5   chilly cheese toast drab dry  3 5  ,,,,,
329,87,drinks front my friend ordered small rum since its happy hour got one plus one  i got my beer then as last order for happy hour ordered large vodka  after getting one when asked for plus one   reply is oh we assumed you asked us to make one large out of two small       ,,,,Negative,
330,87,now ok i can forgive that its misunderstanding suddenly we get the check asking to pay up while still having our drinks ,,,,Negative,
331,87,when told we have not asked for same and may be want to eat and drink more reply received is oh but we have policy after happy hour everyone has to pay and if required restart new billing ,,,,,
332,87,people who made this place have spent money sadly should have visited good places around world to see its not only ambiance to nonsense music but food quality and service quality which makes reputation ,,Negative,Negative,Negative,
333,87,good bye for ever ,,,,,Negative
334,88,worst experience ever ,,,,,Negative
335,88,we were three girls and waiters were rude as much as possible ,,,,Negative,
336,88,they even denied to accept orders and it was just our second order ,,,,Negative,
337,88,never seen such a pub run by rude and unprofessional people ,,,,Negative,
338,89,it is waste to order pizza from this restaurant ,,,,,Negative
339,89,i forgot that i have preferred a cheese burst pizza ,,,,,
340,89,there is no cheese in pizza and moreover the diameter of uttappam is far better than this pizza ,,Negative,,,
341,89,i will never prefer this,,,,,Negative
342,90,worst,,,,,Negative
343,91,one of those times  when you actually regret for not able give ratings less than zero pathetic service foods way costlier than its quality  over hyped description for the decor  i can go on and on    and jesus  ,Negative,Negative,,Negative,
344,91,there are some basic differences between pinapple apple juice and pudina juice  texture and smell  u gotta understand that  before demanding that you are one of the best in your genre ,,,,,
345,92,received incomplete order,,,,Negative,
346,93,i don t understand if they don t want to deliver why kfc shows as available ,,,,Negative,
347,93,everytime i place order most of the time it get declined after payment ,,,,Negative,
348,93,i am not worried about refund as it comes but food is all about cravings and i did order very hopefully but disappointed in the end food is always good from kfc but delivery service is worst,,Positive,,Negative,
349,94,terrible staff ,,,,Negative,
350,94,i don t remember when the last time i saw such horrible and unorganized staff ,,,,Negative,
351,94,most of the staff isn t aware of what order is being placed ,,,,Negative,
352,94,they end up getting the stuffs from their which you haven t ordered ,,,,Negative,
353,94,we had to wait for over an hour for our main course and then the food was also a big disappointment ,,Negative,,Negative,
354,95,i ordered veg dum biryani through zomato and i got just coloured basmati rice without vegetables  one packet gravy and water curd ,,,,Negative,
355,95,there is nothing other than colour basmati rice  there is no spices also ,,,,Negative,
356,95,never order online from here and i don t know about dinein,,,,,Negative
357,96,very bad behaviour of the staff  no one took the order for 45 minutes  when we asked the staff they were pointing at each other saying he will take order ,,,,Negative,
358,96,when we called the manager he was unnecessarily defending the staff saying they thought that table is for 4 other people must be joining ,,,,Negative,
359,96,sheer waste of time ,,,,,Negative
360,97,it seems like they have sent the maggie which was prepared 2 hrs back   not even hot ,,Negative,,,
361,97,the cheese was added which did not even melt  ,,Negative,,,
362,97,very bad experience through zomato,,,,,Negative
363,98,the so called cheese dip tasted like peanut chutney    had a good experience with this place before    but previous delivery was disappointing ,,,,Negative,
364,99,while i am eating my food i get this in my food the steel wire it cut my tongue inside ,,Negative,,,
365,99,the worst experience while having my food i am suggesting don t buy shawarma from shah ghouse,,,,,Negative
366,100,i am still waiting for the pizza,,,,Negative,
367,101,just because a bunch of corporate guys request for retro songs  you shouldn t ignore the rest of the crowd ,,,,Negative,
368,101,please consider it serious ,,,,,
369,101,food is ok ,,Positive,,,
370,102,ordered c  biryani   m  biryani on 23 12 18   worst biryani   just tasted and thrown into dust bin     dont go with this restaurant   ,,Negative,,,
371,102,i thought this is one of the branches of somajiguda s kritunga   ,,,,,
372,102,but it is not    dnt go to this  ,,,,,
373,103,don t ever go to this place  waste of money  if you give order the order will come after 45 mins ,,,,Negative,
374,103,behaviour of the staff is horrible  the partner owner even don t know about how to behave to customer ,,,,Negative,
375,104,worst place for vegetarians ,,,,,Negative
376,104,they serve chicken pieces in veg paneer biryani and mark their box with green labels ,,,,,
377,104,irresponsible team hiered spoillers ,,,,Negative,
378,105,ordered garlic cheese paratha and got live cockroach as accompaniment though i got full refund but that s not the solution ,,,,Negative,
379,105,triptify s service is getting worse day by day ,,,,Negative,
380,105,anyways it was my last order from triptify ,,,,,Negative
381,106,avoid ,,,,,Negative
382,106,this place is a scam ,,,,,Negative
383,106,if there is even a place  i cannot find the physical restaurant on google maps by the provided address ,,,,,
384,106,anyway  i ordered a healthy chicken breast dish ,,,,,
385,106,they claim to offer healthy dishes and organic ingredients which look fantastic on the photos ,,,,,
386,106,then you get regular oily fatty suspiciously saucy indian takeaway full of sugar and complex carbohydrates  probably from some nearby restaurant or street food stand ,,Negative,,,
387,106,the only healthy thing about it was the size of the portion ,,,,,
388,106,no wonder it is low on calories  you can literally finish the whole plate in 4 bites ,,Negative,,,
389,106,there were exactly 2 small chunks of chicken on it  maybe 25gr total  submerged in some ketchup based sweet sauce ,,Negative,,,
390,106,i doubt it was even grilled ,,,,,
391,106,it looked and tasted more like it was fried  although with the disgusting oily sauce sugar coating it all who knows ,,Negative,,,
392,106,the picture of the plate showed a full bowl of grilled chicken breast only  plus the sides on other plates ,,,,,
393,106,i should have taken a photo to show on this review and compare with the one on the menu but i was too hungry and mad to think about anything but eating the disappointing food ,,Negative,,,
394,106,at least it wasn t too expensive  but definitely not healthy  not cheap  and not good quality food ,Negative,Negative,,,
395,107,worst food received  low quality rice was used  egg fried rice was almost spoiler  unable to eat ,,Negative,,,
396,107,worst experience ever  does not recommend ,,,,,Negative
397,108,charging 10rs for packing but its bulshit  charging 10 for normal packings     comming to taste   i ordered chicken fry piece biryani which tasts nutral   means no flavour    very bad,Negative,Negative,,Negative,
398,109,very poor food and my items were missing,,Negative,,Negative,
399,110,this outlet is the worst i have ever seen  ,,,,,Negative
400,110,there were cockroaches on table   food quality was bad and no one to take order on time ,,Negative,Negative,Negative,
401,110,please go to some other outlet don t ever try this outlet,,,,,Negative
402,111,pathetic management  this worst experience   would curse manager   found rats walking around  found food to be stinking liquor was smelling like pee glasses weren t washed properly  ,,,Negative,,
403,111, hate to visit back again   ps  never visit this shitty place  ,,,,,Negative
404,111, ,,,,,
405,112,i think there is no point of taking a buffet here ,,,,,Negative
406,112,i took a buffet for the purpose of having mutton curry  but it was spoilt ,,Negative,,,
407,112,hence  there was no benefit from paying 2000 for 2 people ,,,,,
