,sentence,price,quality,environment,service,other
145,had heard a lot about this place ,0,0,0,0,0
146,food was not good at all  roti s  tandoori  could easily be confused with papad  both were so thin and cold ,0,1,0,0,0
147,sabzi was cold and seems like they didn t care about customer ,0,1,0,0,0
148,even at that time when we were the only table operating there was so much delay for someone to attend our table ,0,0,0,1,0
149,not visiting this place ever again ,0,0,0,0,1
150, delivery  poor customer support ,0,0,0,1,0
151,both me and zomato were unable to contact restaurant ,0,0,0,1,0
152,restaurant didn t update status in app as well ,0,0,0,1,0
153,after 3 hours a guy called me that he is out to deliver the food ,0,0,0,0,0
154,which is hours after i requested zomato customer care and cancelled my order ,0,0,0,1,0
155,and it happened second time ,0,0,0,1,0
156,earlier they answered but said it will take one and half hour i waited and not delivered ,0,0,0,1,0
157,this is my second bad experience   ,0,0,0,0,1
158,very sad about it ,0,0,0,0,1
159,very bad and untasty food ,0,1,0,0,0
160,i doubt if it was even fresh ,0,1,0,0,0
161,the chicken looked so unhygienic and old ,0,1,0,0,0
162,i wouldn t recommend this place to anyone ,0,0,0,0,1
163,very bad quality of food ,0,1,0,0,0
164,the nans and rotis were like papad and the curry was also not good ,0,1,0,0,0
165,sadly our visit to hyatt wasn t the type one would want to remember ,0,0,0,0,1
166,we were attempting to use zomato gold   out of the 4 of us  2 had gold and to start with they told us we would need to physically sit on different tables to use both gold memberships ,0,0,0,1,0
167,note   it was 2 30 at night and the whole restaurant was completely empty ,0,0,0,0,0
168,we suggested let s do two bills and create the notion of 2 tables if needed  why though i don t know  zomato clearly says there is no limit of how many gold s can be used at a table  but even that was not agreeable  they just kept repeating we would need to physically move to two separate tables  ,0,0,0,1,0
169,needless to say  the visit just went down hill from there     not recommended,0,0,0,0,1
170,the food packing is very good  but the food taste is very worse  i m very disappointed,0,1,0,1,0
171,went to this place for lunch ,0,0,0,0,0
172,ordered and paid  waited for 25 minutes and realise that order has not been placed ,0,0,0,1,0
173,the place had more people serving than the people eating and yet this happened and everyone was blaming everyone else ,0,0,0,1,0
174,there were flies all over the place ,0,0,1,0,0
175,poor show ,0,0,0,0,1
176,had to skip lunch because of their error,0,0,0,1,0
177,the place is not soo good ,0,0,1,0,0
178,staff is very arogant and doesnt care abt custor service ,0,0,0,1,0
179,initially they served drinks in plastic glasses and doesnt even have normal glasses to serve drinks ,0,0,0,1,0
180,manager is using abusive language when requested for normal glasses  ,0,0,0,1,0
181,i was here last night with 2 of my friends ,0,0,0,0,0
182,we ordered pan fried noodles  chinese pavilion noodles pan fried and spicy black bean lamb ,0,0,0,0,0
183,food was spicy and tasted fine ,0,1,0,0,0
184,i have had better pan fried ,0,0,0,0,0
185,however  the best worst part follows    all of us had to take a sick leave today as we cannot stop going to the washroom ,0,1,0,0,0
186,the food quality needs to be definitely checked ,0,0,0,0,0
187,we don t expect this from a restaurant of your stature ,0,0,0,0,1
188,well the order firstly came way beyond it s time and didn t came what was ordered originally ,0,0,0,1,0
189,order was late so called the restaurant ,0,0,0,1,0
190,they started yelling the moment he picked the call saying    we are not responsible ,0,0,0,1,0
191,see before calling ,0,0,0,0,0
192,and was extremely rude    ,0,0,0,1,0
193,clearly they have no regard for customer and hence very well explains why the food is cheap,0,1,0,1,0
194,not good,0,0,0,0,1
195,shitty place    shitty service    shitty management    not again    not always brand will work  ,0,0,1,1,0
196,think twice before u check in   wrost place in recent times ,0,0,0,0,1
197,2vegs instead of 2veg 2 nonveg,0,1,0,0,0
198,damn too much oil  i can make another curry out of it  that much,0,1,0,0,0
199,very bad management ,0,0,0,1,0
200,they are a cheat ,0,0,0,1,0
201,firstly they denied me the 20  flat discount coupon which i had taken from dine out ,0,0,0,1,0
202,over charged our liquor ,1,0,0,0,0
203,totally overrated just avoid this place unless you wanna loose your money for a cheap quality food there s only one guy who does all the service and you have to wait long for your turn to come up and the place looks like some forbidden house,0,1,1,1,0
204,vegetables are not cooked properly waste of money,0,1,0,0,0
205,the worst ever pancakes ,0,1,0,0,0
206,i m not even kidding ,0,0,0,0,0
207,it s a total waste of money ,0,0,0,0,1
208,and they delivered something way different than what was mentioned in the menu ,0,0,0,1,0
209,hope they improve  ,0,0,0,0,0
210,staff is very reckless and they are least bother about the customer ,0,0,0,1,0
211,we left without having lunch for keeping wait for more then 30 mins and the manager even not ask us to wait ,0,0,0,1,0
212,he went inside to cancel the order,0,0,0,0,0
213,we went for a team lunch ,0,0,0,0,0
214,worst food ever i had in recent times ,0,1,0,0,0
215,rotten smell in fish n chicken ,0,1,0,0,0
216,never ever visit this place i wonder how this restaurant got those awards,0,0,0,0,1
217,booking a place here for a corporate package is absolutely horrendous ,0,0,0,0,1
218,they provided the menu and package details on friday and confirmed its available  and on monday   the day of the event   management was rude and was insisting they ll not provide the buffet but will charge the same price as per the package ,0,0,0,1,0
219,they did not have minimum courtesy and were not even respecting the fact that our manager   a lady   was trying to talk ,0,0,0,1,0
220,this is probably the worst ever team i had ever talked to ,0,0,0,1,0
221,very disappointing ,0,0,0,0,1
222,this has resulted in cancellation of our corporate party which consisted of several partners and managing directors ,0,0,0,0,0
223,i d never recommend this place to anyone ,0,0,0,0,1
224,i visited the place yesterday for lunch with my family ,0,0,0,0,0
225,this is usually a most loved place by all my family members and me for a casual dining ,0,0,0,0,0
226,but yesterday it is a very bad experience we noticed the manger is changed ,0,0,0,0,1
227,it took 20 minutes to find some one to take the order ,0,0,0,1,0
228,then it took him almost 30 minutes for the thali ,0,0,0,1,0
229,i called the manager and asked why is it taking so long as we habe only asked a thali and lassi ,0,0,0,1,0
230,then he told us that some of the food got over so we are preparing it again so only it is taking so much time ,0,0,0,0,0
231,but is was courtesy that he could have informed us that it is going to take time ,0,0,0,1,0
232,after 40 minutes the food was served ,0,0,0,0,0
233,but the lassi again took a very long time we cancelled the order and moved out ,0,0,0,1,0
234,too much attitude display by all staff ,0,0,0,1,0
235,need to be taught manners regarding how to be courteous to guests ,0,0,0,1,0
236,only ambience  food just about ok ,0,1,1,0,0
237,worst quality  we found spider at glass of beer and we informed to them but there was no response from their side ,0,1,0,1,0
238,it s very bad experience with this bar,0,0,0,0,1
239,worst service experienced ever ,0,0,0,1,0
240,nobody is concerned about even taking the order ,0,0,0,1,0
241,its just waste of our evening ,0,0,0,0,1
242,not as expected ,0,0,0,0,1
243,this review is completely for the service we received ,0,0,0,0,0
244,horrible food   ,0,1,0,0,0
245,the noodles and the so called starter which basically was gobi fried to death looked and tasted like they were living in oil well all their life and had come out for once to give me the scare of my life  ,0,1,0,0,0
246,bland horrible highly unhealthy trash never eat here worst experience  wish there was a negative starring system,0,1,0,0,0
247,i ordered paneer tikka biryani and got some non veg biryani ,0,0,0,1,0
248,very bad services from both restaurant as well as zomato ,0,0,0,1,0
249,i m a pure vegetarian and this was really really bad ,0,0,0,0,0
250,irresponsible restaurant  ,0,0,0,1,0
251,please don t order any food from there ,0,0,0,0,1
252,i ordered mushroom masala   not good in taste  and 3 different types of roti s and in place of roti s they people are delivering white rice ,0,1,0,1,0
253,moreover   when i tried calling restaurant number   they are not in use ,0,0,0,1,0
254,worst place and worst service   without any prior intimation they stopped taking orders   for a crispy corn they took 1 hour   will never recommend this place  ,0,0,0,1,0
255,worst place went soo far  don t believe in pictures  quality of food is worst  dj was very very very bad ,0,1,0,0,0
256,disgusting place ,0,0,1,0,0
257,seen in zomato impressed with pictures but came to a worst place,0,0,0,0,1
258,we found insect in the beer  we informed to the management but the way of their behaviour is worst ,0,1,0,1,0
259,this is not good and bad experience in this bar ,0,0,0,0,1
260,visited the place on a weekday but it was jam packed with people ,0,0,0,1,0
261,the music was too loud to the point that we would not able to discuss on what to order across the table ,0,0,1,0,0
262,i have been to many places but never had such loud music ,0,0,0,0,0
263,my ears were ringing after coming out ,0,0,0,0,0
264,the service was the worst   all of my friends went to the dance floor and i was stopped by the staff who asked not to leave the table and asked me to deposit my id card ,0,0,0,1,0
265,this was pretty humiliating ,0,0,0,0,1
266,this place probably sees too many dine   dash incidents given the kind of crowd it caters to ,0,0,0,0,0
267,the food was average at best ,0,1,0,0,0
268,they entered  200 as tip on the pos machine trying us to pay that for this s   ty service ,0,0,0,1,0
269,the valet meddled with my car s infotainment system ,0,0,0,1,0
270,i will avoid this place from now on and stick to more classy places ,0,0,0,0,1
271,had a lot of expectations when i read the ne for the first time ,0,0,0,0,0
272,was able to visit it after a month ,0,0,0,0,0
273,what a disappointment it was ,0,0,0,0,1
274,it s named sizzler but has nothing close to sizzler ,0,0,0,0,0
275,you guys really need to work on the art of making sizzler ,0,0,0,0,0
276,it looks like sizzler ,0,0,0,0,0
277,it only looks,0,0,0,0,0
278,wrong food  wrong bill  no taste  time waste insects in food  food raw  when metioned this all to the manager he was reluctant to hear the feedback,0,1,0,1,0
279,no wafers sent with the burger,0,0,0,1,0
280,most terrible place ,0,0,0,0,1
281,i used to love chennai 10d and with that brand i went to hyd 10d ,0,0,0,0,0
282,firstly they took cover charge for a couple and they had no seats ,1,0,0,1,0
283,could have told us we have no seats we would not have paid cover charge ,0,0,0,1,0
284,we stood for good 20 mins and then given bad seats near the speaker where one couldn t even talk ,0,0,0,1,0
285,and then the waiters weren t serving us food properly ,0,0,0,1,0
286,had to ask them twice after whicj they took order and when they did they didn t give us cutlery ,0,0,0,1,0
287,can you even imagine   ,0,0,0,0,0
288,i had to ask that give forks  ,0,0,0,1,0
289,      ,0,0,0,0,1
290,i had the worst experience ever of going to a place ,0,0,0,0,1
291,extremely disappointed ,0,0,0,0,0
292,please learn how to manage a crowd ,0,0,0,0,0
293,also i wanted to book my table beforehand ,0,0,0,1,0
294,but the option was not even available on zomato and they won t pick up call ,0,0,0,0,0
295,it just felt they didn t want things to be systematic ,0,0,0,0,1
296,dun bombard the menu with so many things  great hospitality and tasty food is what makes a place happening ,0,0,0,0,0
297,not coming to this place ever again,0,0,0,0,1
298,my pizza looks like they have pieced together the left overs ,0,1,0,0,0
299,the cheese is hard and the slices look old ,0,1,0,0,0
300,i m so disappointed as i order quite frequently from frio and this is the second time i am getting a pizza in this condition from them ,0,1,0,0,0
301,very poor service i went in day time and took 40 min to serve nachos ,0,0,0,1,0
302,food taste very poor ,0,1,0,0,0
303,i could rate this place  ve ,0,0,0,0,0
304,they have speciality to server hot beer ,0,0,0,0,0
305,there staff is not entertaining ,0,0,0,1,0
306,baby corn manchurian was gone bad when it was delivered ,0,1,0,0,0
307,pathetic food ,0,1,0,0,0
308,omelete is having black color on it ,0,1,0,0,0
309,breads are missing ,0,0,0,1,0
310,strawberry toast   something white is there which smells ,0,1,0,0,0
311,pathetic food  ,0,1,0,0,0
312,yakk ,0,0,0,0,0
313,such bad experience ,0,0,0,0,1
314,delivery boy also came 1 hour late ,0,0,0,1,0
315,never gonna order from here  ,0,0,0,0,1
316,disappointment  being one of the famous restaurant chain  had lot of expectations we were made to seat on table with dirty table mats and plates   food quality is worst to the core ,0,1,0,1,0
317,ordered mutton rogan josh which had excess amount of salt  to our suprise staff was least bothered to act on it or accept feedback ,0,1,0,1,0
318,didn t have biryanis available hence had to sacrifice with steamed rice and dal ,0,0,0,1,0
319,would not recommend this restaurant as needs huge improvement in terms of food quality  service and hygiene standards,0,1,0,1,0
320,tried two places in same venue on saturday evening ,0,0,0,0,0
321,in hyper local first  seated outdoor as inside is little loud to my taste at 6 30pm ordered drinks and snacks  spicy chicken wings very hot  average taste  3 5   chilly cheese toast drab dry  3 5  ,0,0,0,0,0
322,drinks front my friend ordered small rum since its happy hour got one plus one  i got my beer then as last order for happy hour ordered large vodka  after getting one when asked for plus one   reply is oh we assumed you asked us to make one large out of two small       ,0,0,0,1,0
323,now ok i can forgive that its misunderstanding suddenly we get the check asking to pay up while still having our drinks ,0,0,0,1,0
324,when told we have not asked for same and may be want to eat and drink more reply received is oh but we have policy after happy hour everyone has to pay and if required restart new billing ,0,0,0,0,0
325,people who made this place have spent money sadly should have visited good places around world to see its not only ambiance to nonsense music but food quality and service quality which makes reputation ,0,1,1,1,0
326,good bye for ever ,0,0,0,0,1
327,worst experience ever ,0,0,0,0,1
328,we were three girls and waiters were rude as much as possible ,0,0,0,1,0
329,they even denied to accept orders and it was just our second order ,0,0,0,1,0
330,never seen such a pub run by rude and unprofessional people ,0,0,0,1,0
331,it is waste to order pizza from this restaurant ,0,0,0,0,1
332,i forgot that i have preferred a cheese burst pizza ,0,0,0,0,0
333,there is no cheese in pizza and moreover the diameter of uttappam is far better than this pizza ,0,1,0,0,0
334,i will never prefer this,0,0,0,0,1
335,worst,0,0,0,0,1
336,one of those times  when you actually regret for not able give ratings less than zero pathetic service foods way costlier than its quality  over hyped description for the decor  i can go on and on    and jesus  ,1,1,0,1,0
337,there are some basic differences between pinapple apple juice and pudina juice  texture and smell  u gotta understand that  before demanding that you are one of the best in your genre ,0,0,0,0,0
338,received incomplete order,0,0,0,1,0
339,i don t understand if they don t want to deliver why kfc shows as available ,0,0,0,1,0
340,everytime i place order most of the time it get declined after payment ,0,0,0,1,0
341,i am not worried about refund as it comes but food is all about cravings and i did order very hopefully but disappointed in the end food is always good from kfc but delivery service is worst,0,1,0,1,0
342,terrible staff ,0,0,0,1,0
343,i don t remember when the last time i saw such horrible and unorganized staff ,0,0,0,1,0
344,most of the staff isn t aware of what order is being placed ,0,0,0,1,0
345,they end up getting the stuffs from their which you haven t ordered ,0,0,0,1,0
346,we had to wait for over an hour for our main course and then the food was also a big disappointment ,0,1,0,1,0
347,i ordered veg dum biryani through zomato and i got just coloured basmati rice without vegetables  one packet gravy and water curd ,0,0,0,1,0
348,there is nothing other than colour basmati rice  there is no spices also ,0,0,0,1,0
349,never order online from here and i don t know about dinein,0,0,0,0,1
350,very bad behaviour of the staff  no one took the order for 45 minutes  when we asked the staff they were pointing at each other saying he will take order ,0,0,0,1,0
351,when we called the manager he was unnecessarily defending the staff saying they thought that table is for 4 other people must be joining ,0,0,0,1,0
352,sheer waste of time ,0,0,0,0,1
353,it seems like they have sent the maggie which was prepared 2 hrs back   not even hot ,0,1,0,0,0
354,the cheese was added which did not even melt  ,0,1,0,0,0
355,very bad experience through zomato,0,0,0,0,1
356,the so called cheese dip tasted like peanut chutney    had a good experience with this place before    but previous delivery was disappointing ,0,0,0,1,0
357,while i am eating my food i get this in my food the steel wire it cut my tongue inside ,0,1,0,0,0
358,the worst experience while having my food i am suggesting don t buy shawarma from shah ghouse,0,0,0,0,1
359,i am still waiting for the pizza,0,0,0,1,0
360,just because a bunch of corporate guys request for retro songs  you shouldn t ignore the rest of the crowd ,0,0,0,1,0
361,please consider it serious ,0,0,0,0,0
362,food is ok ,0,1,0,0,0
363,ordered c  biryani   m  biryani on 23 12 18   worst biryani   just tasted and thrown into dust bin     dont go with this restaurant   ,0,1,0,0,0
364,i thought this is one of the branches of somajiguda s kritunga   ,0,0,0,0,0
365,but it is not    dnt go to this  ,0,0,0,0,0
366,don t ever go to this place  waste of money  if you give order the order will come after 45 mins ,0,0,0,1,0
367,behaviour of the staff is horrible  the partner owner even don t know about how to behave to customer ,0,0,0,1,0
368,worst place for vegetarians ,0,0,0,0,1
369,they serve chicken pieces in veg paneer biryani and mark their box with green labels ,0,0,0,0,0
370,irresponsible team hiered spoillers ,0,0,0,1,0
371,ordered garlic cheese paratha and got live cockroach as accompaniment though i got full refund but that s not the solution ,0,0,0,1,0
372,triptify s service is getting worse day by day ,0,0,0,1,0
373,anyways it was my last order from triptify ,0,0,0,0,1
374,avoid ,0,0,0,0,1
375,this place is a scam ,0,0,0,1,0
376,if there is even a place  i cannot find the physical restaurant on google maps by the provided address ,0,0,0,0,0
377,anyway  i ordered a healthy chicken breast dish ,0,0,0,0,0
378,they claim to offer healthy dishes and organic ingredients which look fantastic on the photos ,0,0,0,0,0
379,then you get regular oily fatty suspiciously saucy indian takeaway full of sugar and complex carbohydrates  probably from some nearby restaurant or street food stand ,0,1,0,0,0
380,the only healthy thing about it was the size of the portion ,0,0,0,0,0
381,no wonder it is low on calories  you can literally finish the whole plate in 4 bites ,0,1,0,0,0
382,there were exactly 2 small chunks of chicken on it  maybe 25gr total  submerged in some ketchup based sweet sauce ,0,1,0,0,0
383,i doubt it was even grilled ,0,0,0,0,0
384,it looked and tasted more like it was fried  although with the disgusting oily sauce sugar coating it all who knows ,0,1,0,0,0
385,the picture of the plate showed a full bowl of grilled chicken breast only  plus the sides on other plates ,0,0,0,0,0
386,i should have taken a photo to show on this review and compare with the one on the menu but i was too hungry and mad to think about anything but eating the disappointing food ,0,1,0,0,0
387,at least it wasn t too expensive  but definitely not healthy  not cheap  and not good quality food ,1,1,0,0,0
388,worst food received  low quality rice was used  egg fried rice was almost spoiler  unable to eat ,0,1,0,0,0
389,worst experience ever  does not recommend ,0,0,0,0,1
390,charging 10rs for packing but its bulshit  charging 10 for normal packings     comming to taste   i ordered chicken fry piece biryani which tasts nutral   means no flavour    very bad,0,1,0,1,0
391,very poor food and my items were missing,0,1,0,1,0
392,this outlet is the worst i have ever seen  ,0,0,0,0,1
393,there were cockroaches on table   food quality was bad and no one to take order on time ,0,1,1,1,0
394,please go to some other outlet don t ever try this outlet,0,0,0,0,1
395,pathetic management  this worst experience   would curse manager   found rats walking around  found food to be stinking liquor was smelling like pee glasses weren t washed properly  ,0,0,1,0,0
396, hate to visit back again   ps  never visit this shitty place  ,0,0,0,0,1
397,i think there is no point of taking a buffet here ,0,0,0,0,1
398,i took a buffet for the purpose of having mutton curry  but it was spoilt ,0,1,0,0,0
399,hence  there was no benefit from paying 2000 for 2 people ,0,0,0,0,0
400,i took this plate like this ,0,0,0,0,0
401,i left this plate like this ,0,0,0,0,0
