id,sentence,price,quality,environment,service,other
1158.0,very spicy and vada is uncooked   disappointing,,Negative,,,
1159.0,the taste and quality of the food here is on a slippery slope ,,Negative,,,
1159.0,i used to love the boston creme donut ,,Positive,,,
1159.0,what once used to have a juicy  creamy filling is now a miser s dab ,,Negative,,,
1159.0,burgers have also lost their taste and are mostly insincere ,,Negative,,,
1160.0,firstly the seeating space is less and the music for garden seating is really bad ,,,Negative,,
1160.0,some of the items in food menu were good but my mood was dampened by the extremely bad service ,,Positive,,Negative,
1160.0,this not a place to spend more time or chill ,,,Negative,,
1161.0,i have been here many times ,,,,,Positive
1161.0,i like the food ,,Positive,,,
1161.0,but never order food online you ll get very cold food  inspite of instructions  to name a few samosa s  veg biryani ,,,,Negative,
1161.0,etc   you ll definitely regret ,,,,,Positive
1162.0,so less quantity at so high rate,Negative,,,,
1163.0,the food here was ok ,,Neutral,,,
1163.0,but the service was worst ever ,,,,Negative,
1163.0,if you have    hrs free time to spend then come here ,,,,Negative,
1163.0,the service is slow as sloth ,,,,Negative,
1163.0,we ordered starters got it after   min ,,,,Positive,
1163.0,then got lunch after an hour ,,,,Negative,
1163.0,i guess they forget orders after you give them  you have to remind them atleast twice or thrice to get it ,,,,Negative,
1164.0,pathetic and horrible experience ambience and hospitality   food   chairs and tables were broken food is cold and tasteless buffet arrangement is not good could be a bit more spacious,,Negative,Negative,,
1165.0,the bar ambiance is good ,,,Positive,,
1165.0,we ordered chilli broccoli and that had mix of broccoli and cauliflower ,,Neutral,,,
1165.0,broccoli was tasty  ,,Positive,,,
1165.0,it is at the outer area so there was problem for booking a cab also at      pm while returning,,,Negative,,
1166.0,rotis are not delivered hot  not satisfied with ordered ,,,,Negative,
1167.0,hi tech bawarchi food is not pretty well ,,Negative,,,
1167.0,masala not there and chicken also very small piece and quantity of rice is also low following this raita also very low quantity   not satisfyable if you feel hungry   ,,Negative,,,
1168.0,have been here in the past too but experience this time was not at all good ,,,,,Negative
1168.0,food was not good especially the ones that were refilled ,,Negative,,,
1168.0,breads were too dense  desserts too sweet  chicken overcooked ,,Negative,,,
1168.0,most disappointing was the service which is not at all expected from a brand like hyatt ,,,,Negative,
1168.0,very slow service with a i don t care attitude ,,,,Negative,
1168.0,had to wait very long for some of the requests ,,,,Negative,
1168.0,the only good thing was probably the decor ,,,Positive,,
1168.0,and no one will come back only for that ,,,,,Negative
1169.0,extremely disappointed with the food taste we have ordered kodi roast which was average when compared to godavari royyala vepudu we usually expect dry item when it is named as vepudu but we got gravy and semi gravy items same experience with two more items kakathiya mamsam vepudu biryani and kodi vepudu biryani  ,,Negative,,,
1169.0,even the prices are extremely high if taste is better no one would be bothered about price  ,Negative,Negative,,,
1170.0,after going through the amazing reviews i tried red velvet cupcakes ,,Neutral,,,
1170.0,honestly it s not worth at all ,,Negative,,,
1170.0,the frosting on cupcake wasn t fresh ,,Negative,,,
1170.0,it tasted below average cake ,,Negative,,,
1170.0,not worth the money ,Negative,,,,
1171.0,the chicken was hard inside  not indicative of fresh chicken   the prawns were sweet and the dimsums had thick coatings ,,Negative,,,
1171.0,i did not enjoy my time at shanghai chef ,,,,,Negative
1172.0,really small portions and avg tatse ,,Negative,,,
1172.0,there are tons of places much better ,,,,,Negative
1173.0,nice ambience  wonderful service but not so wonderful food ,,Negative,Positive,Positive,
1173.0,ordered the thai green curry  was just a watery mess  probably the worst ever had ,,Negative,,,
1173.0,kung pao chicken was overly sweet  the noodles were just tossed around in a few eggs and probably   pieces of chicken ,,Negative,,,
1173.0,the rice was very dry giving us an overall average experience ,,Negative,,,
1174.0,first of all  it is on the expensive side ,Negative,,,,
1174.0,second  the quantity wasn t good  third it was spicy ,,Negative,,,
1174.0,seems like they are spending more on fancy packaging than the actual food ,,Negative,,Positive,
1175.0,nan was bit ok but chana was worthless ,,Negative,,,
1175.0,it s raw and cooked in shahi paneer gravy ,,Negative,,,
1175.0,will never order food from here,,,,,Negative
1176.0,very limited options for starter     non veg   chicken and   fish  and   veg   potato and   paneer  ,,Negative,,,
1176.0,they were serving the starter cold ,,Negative,,,
1176.0,the tawa fish was over spicy and they didn t prepare a lesser spicy version of that even after our request ,Negative,,,Negative,
1176.0,only chicken wings was good ,,Positive,,,
1176.0,main course was kind of good ,,Positive,,,
1176.0,egg fried rice and veg noodles were good ,,Positive,,,
1176.0,chicken biriyani was stale ,,Negative,,,
1176.0,dessert was good ,,Positive,,,
1176.0,chocolate cake  gulaab jamoon and ice cream were good ,,Positive,,,
1176.0,semiya kheer was horrible ,,Negative,,,
1177.0,should say i m disappointed  looks like the quality is not the same as before  even the price is a bit high compared to other places with similar taste ,Negative,Negative,,,
1178.0,i am sorry to say this but nothing  i mean nothing in this place was exceptionally good ,,,,,Negative
1178.0,from food  to taste  to hygiene  to the supporting staff  to the ambience   nothing just made me food good and welcomed ,,Negative,Negative,Negative,
1178.0,we were a group of people who went there and none of us were happy with the food  or the food spread  or the taste specially ,,Negative,,,
1178.0,i remember nothing from what i ate as extraordinarily good ,,Neutral,,,
1178.0,there has been absolutely no work done on the ambience to look pretty or attractive ,,,Negative,,
1178.0,the place did not even smell good ,,,Negative,,
1178.0,i would never visit this place ,,,,,Negative
1179.0,food tastes good however had bad experience with freshness of food being served ,,Neutral,,,
1180.0,didn t like the quality ,,Negative,,,
1180.0,seems like it s been stored,,Negative,,,
1181.0,not warm,,Negative,,,
1182.0,somedays it s decent but somedays it s so not good ,,Neutral,,,
1182.0,yesterday we ordered fish paella and the rice was tasteless just dipped in chilli water ,,Negative,,,
1182.0,i love spicy food but not like this ,,Negative,,,
1182.0,we also ordered lamb bolognese and for both dishes it looks like they recycled the same generic masala mixture ,,Negative,,,
1182.0,it was so pungent ,,Negative,,,
1183.0,donuts were not fresh ,,Negative,,,
1183.0,first time the donut was good but second time i got some stone in the donut which completly spoiled my taste ,,Negative,,,
1184.0,not that great taste it quality id say,,Negative,,,
1185.0,dal was really bad and chinese veg manchurian was actually pieces taken out from gravy,,Negative,,,
1186.0,the foods were average i will rate the food a   out of   ,,Neutral,,,
1186.0,now come to the service   we ordered   butter chicken but they gave us    so had to wait for another      mins to get the other butter chicken  please do not compare the taste of butter chicken if youre from north india   the restaurant looks good from the outside  but inside house flies will accompany you with your food and friends  ,,Negative,,Negative,
1187.0,chicken was okayish ,,Neutral,,,
1187.0,paneer was nothing but onion ,,Negative,,,
1187.0,veg is a total no no ,,Negative,,,
1187.0,on a side note  who gives out mayo with momos  ,,Negative,,,
1187.0,very pocket friendly though ,Positive,,,,
1188.0,the food and ambience are average  ,,Neutral,Neutral,,
1188.0,in starters egg fish and chicken are sort of better  ,,Positive,,,
1188.0,corn and all other veg ingredients are not up to what you expect it to be and moreover the main coarse is the worst to have  ,,Negative,,,
1188.0,the desserts are decent and the fruits are the best  ,,Positive,,,
1188.0,i would not recommend a buffet here because the money you spent here goes down the drain think before you go ,,,,,Negative
1188.0,the moctails they serves was the worst  ,,Negative,,,
1189.0,ambience wise it s the best rooftop place one could possibly ask for ,,,Positive,,
1189.0,the behaviour of staff however is highly disappointing ,,,,Negative,
1189.0,they have this bad attitude as though you re blessed to be dining there  now that certainly isn t accomodating  is it  ,,,,Negative,
1189.0,in fact  it ruined the entire experience despite the place being amazing and food being great ,,Positive,Positive,,
1189.0,i guess it really is important to keep tabs on whom you re hiring ,,,,Negative,
1190.0,the momos tasted old and chicken tasted lemony ,,Negative,,,
1190.0,the sauce was traditional red sauce that had no flavour because of excess water added and other sauce was store bought mayo ,,Neutral,,,
1190.0,i had to throw the momos away,,Negative,,,
1191.0,to be honest  it is an average place to hang out ,,,,,Neutral
1191.0,the cold coffee or drinks made by me tastes better than what is served here ,,Negative,,,
1191.0,minimal efforts have been done to maintain customer satisfaction ,,,,Negative,
1191.0,almost all the items tastes average and not worth the money ,Negative,Neutral,,,
1192.0,for the first time in my life someone justified to me that burnt noodle tastes as such because the item is a sizzler  ,,,,Negative,
1193.0,roti delivered was very bad and was smelly half cooked,,Negative,,,
1194.0,disappointed    with taste have tried starter  roti   biryani ,,Negative,,,
1194.0,taste so so normal but every dish is less in masala and has below normal taste not a good place for hangout,,Negative,,,
1195.0,we ordered four different ice creams   chocolate ecstasy   chocolate chocolate sundae   chocolate banana split   the chocolate room brownie sundae and all of them were same,,Neutral,,,
1196.0,place was a complete let down ,,,Negative,,
1196.0,was there for lunch on sunday and was disappointed ,,,,,Negative
1196.0,the veg stack in the western section was actually a spicy paneer which was basically spicy filling between   slices of paneer and topped with a chilli sauce ,,Neutral,,,
1196.0,  dishes took    mins to come while   was served in    mins ,,,,Negative,
1196.0,staff were lost and seemed to be recovering from a late night on saturday ,,,,Negative,
1196.0,the only saving grace were the drinks ,,Positive,,,
1196.0,so unless you want to go and just have a drink and then more drinks  skip the place ,,,,,Negative
1197.0,very less quantity,,,,,Negative
1198.0,except for service and the starters to some extent nothing was good at this place we tried the buffet and after starters nothing was worth eating and i successfully wasted rs      i hope they improve it when i visit the next time ,,Negative,,Positive,
1199.0,i found this place ok for chill out not much happening as well ,,,,,Positive
1199.0,we sat outside in open area which was good  also it was but chiller that day so moonsoon was really awesome ,,,Positive,,
1199.0,as i am complete vegeterain one incident happened that day like we ordered two veg pizzas there and confimed the ordered twice to waiter  first pizza was correct and good but second pizza we told him to get it after some time as he served there was topping on pizza which was looking like carrot but as i had some confusion with that thing i closely looked and saw it was not veg   i told to re confirm in kitchen so it came out to be non veg it was pork or something like that ,,Positive,,Negative,
1199.0,i was very dissapoint with the management and post that no came to feel sorry as well with wrong that giving on our plates ,,,,Negative,
1199.0,i was totally disappoint with instance giving low rating and also very bad experience ,,,,,Negative
1199.0,for other thing i ordered the food was good ,,Positive,,,
1200.0,more spicy cannot eat,,Neutral,,,
1201.0,had their speciality   makee di roti   sanson ka saag   no where close to what a real saag ,,Negative,,,
1201.0,gazar ka halwa   omg   chef never had gazar ka halwa in life   so pathetic ,,Negative,,,
1201.0,giving   rating as starter was good   paneer szechwan ,,Positive,,,
1201.0,good ambience ,,,Positive,,
1201.0,pricing also very decent ,Positive,,,,
1201.0,but overall taste of punjab missing,,Negative,,,
1202.0,i am a big soup fan and both hot and sour and tomato soup was disappointing ,,Negative,,,
1202.0,the starter was too paste like in the mouth ,,Negative,,,
1202.0,the garlic naan was amazing ,,Positive,,,
1202.0,daal makhani was below average ,,Negative,,,
1202.0,they gave us complimentary brownie and ice cream which was average as well ,,Neutral,,,
1202.0,definitely not a place worth your money ,,,,,Negative
1203.0,this place served the worst indian food i could ever ask for in hyderabad ,,Negative,,,
1203.0,the towels were dirty and not properly washed ,,,,Negative,
1203.0,the food was just horrible ,,Negative,,,
1203.0,loud music from the pub above will spoil your dining experience even more and when i asked for outdoor seating they lied saying it s only a smokin  area ,,,Negative,,
1203.0,not visiting this place ever again ,,,,,Negative
1203.0,an extra star only coz of the interior otherwise this place is just worthy of a   star ,,,Positive,,
1204.0,we ordered alu parathas from here which turned out to be a mass of poorly cooked dry mass of wheat ,,Negative,,,
1204.0,do not know about the rest of the things they serve but not ordering again for sure ,,,,,Negative
1205.0,following is my experience on the same    presentation  looked lovely and the gum paste flowers on it just made our mouths to water ,,Positive,,,
1205.0,the colour was sharp and had the perfect blend of black and white ,,Positive,,,
1205.0,the presentation was superb ,,Positive,,,
1205.0,     delivery  got everything delivered on time ,,,,Positive,
1205.0,nothing outstanding ,,,,,Neutral
1205.0,       cake  now this is what was actually not good enough ,,Negative,,,
1205.0,the black forest tasted much different than any other black forest ,,Negative,,,
1205.0,it tasted exactly like elaichi and nowhere like black forest ,,Negative,,,
1205.0,a damp squib ,,Negative,,,
1205.0,the cake was a turn off but i would like to give them another chance because of the reviews i have read ,,Negative,,,
1206.0,taste should improve as it was not good in taste also everytime i order from here they don t give tomato ketchup there was an instance happend last time when i ordered they didn t gave me extra mayo which i ordered ,,Negative,,Negative,
1207.0,we visited a day before diwali and we were deploy disappointed ,,,,,Negative
1207.0,service was poor except for one server who was courteous and smiling ,,,,Negative,
1207.0,we ordered fresh lime soda which was not sour starter were okay  hence   star  ,,Neutral,,,
1207.0,but main course was pathetic ,,Negative,,,
1207.0,we still couldn t figure our how they screed up simple thing like paneer butter masala ,,Negative,,,
1207.0,tasteless ,,Negative,,,
1208.0,ordered lazeez bhuna murgh biryani  boneless  really disappointed with the the food  quality and quantity wise its decent ,,Negative,,,
1208.0,but taste wise its bad  ,,Negative,,,
1209.0,we went there yesterday and as usual they did not have many foreign beers present but mentioned in menu ,,,,Negative,
1209.0,second they provided custom menu for zomato gold and asked to get free drink only from that menu ,,,,Negative,
1209.0,zomato gold and this restaurant is not good as they keep changing conditions and we customers suffer ,,,,Negative,
1209.0,zomato says you can get free dish from complete menu and manager said no we can only give free dish from custom small menu,,,,Negative,
1210.0,and if they are rude  don t give any importance to customers  they don t deserve anything ,,,,Negative,
1210.0,giving   stars just for the ambience,,,Positive,,
1211.0,had a very disappointing experience ,,,,,Negative
1211.0,i don t know what happened  maybe the chef had a bad day or maybe that s how the food generally is ,,Negative,,,
1211.0,ordered fries with cheese which was poorly seasoned  the fish in fish and chips was literally dripping in oil ,,Negative,,,
1211.0,there didn t seem any effort put into the potato wedges that come on the side of the burger ,,Negative,,,
1211.0,the service was good   if only food was half as decent ,,Negative,,Positive,
1212.0,it s a small place with around     tables  with only two stewards ,,,Positive,,
1212.0,service is good as the place is not so crowded at the time we went ,,,,Positive,
1212.0,had manchow soup which can be much better ,,Negative,,,
1212.0,lipta mushroom isn t that great  mushroom isn t fresh ,,Negative,,,
1212.0,there s no crispness in the crispy corn ,,Negative,,,
1212.0,egg biryani is good ,,Positive,,,
1212.0,overall not satisfied with the food much ,,Negative,,,
1212.0,even pricing is little high  in comparison with the taste and quality ,Negative,Negative,,,
1213.0,bad paratha  it was plain paratha no stuffing,,Negative,,,
1214.0,food was stale when ordered through swiggy pop ,,Negative,,,
1214.0,rita salad everything was smelling stale had to order again and discard this food ,,Negative,,,
1214.0,please send proper food through swiggy pop,,Negative,,,
1215.0,the noodles had lots of uncooked cauliflower and onions  half cooked ,,Negative,,,
1215.0,the gravy was also flat in taste with lot of oil and lots of eggplant ,,Neutral,,,
1216.0,below average taste ,,Negative,,,
1217.0,tomato rice was worst ,,Negative,,,
1217.0,muffin cake is very hard ,,Negative,,,
1217.0,vada is roasted more ,,Neutral,,,
1218.0,burger quality was not good,,Negative,,,
1219.0, over rated ,,,,,Negative
1219.0,desserts are good   food      ambiance      service      vfm        jonathan kitchen had been on my check list for quite some time  ,,Positive,Positive,Positive,
1219.0,the early impressions were not great as it seemed very crowded and the ambiance wasnt bright which aroused a non positive vibe   as we dint want to go to another restaurant at that time   we proceeded to have the buffet  ,,,Negative,,
1219.0,except for the desserts section which was huge  i was disappointed with the overall quality of the food  ,,Negative,,,
1219.0,the taste want great and at the same time  the meat had a lot of bones   service was bad  ,,Negative,,Negative,
1219.0,there was always a shortage of plates and the dessert spoon they gave me was the highlight of the whole experience    ,,,,Negative,
1220.0,though i love chinese but this place was a big disappointment for us   ,,,,,Negative
1220.0,the taste was too bad  ,,Negative,,,
1220.0,the price is high   lamb was not properly cooked  ,Negative,Negative,,,
1220.0,it tasted like rubber  ,,Negative,,,
1220.0,chilly chicken was so bland  crispy honey chicken was not at all crispy ,,Negative,,,
1220.0,we had to ask them to re do it ,,Negative,,,
1220.0,somehow they have not maintained thr quality nor taste ,,Negative,,,
1221.0,they run out of coffee regularly ,,,,Negative,
1221.0,the store is very poorly managed ,,,,Negative,
1221.0,it takes at least ten minutes for them to generate the bill even when there is no one else there because their systems are always down ,,,,Negative,
1222.0,worst service i ever experienced ,,,,Negative,
1222.0,if we order an item no one take responsibility to bring it ,,,,Negative,
1222.0,they will stay at the corner and chit chat each other ,,,,Negative,
1222.0,there was a lady i said ur servicing was very worst and smiled in sarcastic way and went off ,,,,Negative,
1222.0,they will replace items after   min ,,,,Negative,
1222.0,we have to wait for that item ,,,,Negative,
1222.0,even bowls for sweets they will bring after half an hour that too not more than   ,,,,Negative,
1222.0,at last i feed up with the services and had thought to have sweet and i find an cockroache in the bowl i called the lady and waiter they did not responded ,,,Negative,Negative,
1222.0,then i went to kitchen and called a person ranjith he took the bowl and went inside the kitchen and came back and said sorry and offered   ice creams ,,,,Neutral,
1222.0,basically it looks like decent and star hotel but the people and the service just like irani cafe ,,,,Negative,
1222.0,i heard lot about jonathan kitchen food is absolutely good ,,Negative,,,
1222.0,but the people their behaviour and neatness was very very bad ,,,,Negative,
1223.0,but things got too much for me when i found a hair in the crispy corn ,,Negative,,,
1223.0,when i put this into light to the serving staff  they just tried to take away the plate and all i got to listen was they will replace it ,,,,Neutral,
1223.0,that s what drove me mad ,,,,,Negative
1223.0,when i demanded to see the manager  he apologized and asked for the plate replacement ,,,,Positive,
1223.0,but i was done with the food now ,,,,,Negative
1223.0,no more nonsense ,,,,,Negative
1223.0,at the end  the manager showed up with a specially made choco vanilla dessert in pic  ,,,,Positive,
1223.0,not just the hygiene  but the service was bad too ,,,,Negative,
1223.0,the overall experience was bad  something not expected from a bbq nation ,,,,,Negative
1224.0,not provided any carry bags  difficult to cary multiple packs one time ,,,,Negative,
1224.0,biryani quality not good,,Negative,,,
1225.0,butter milk is waste ,,Negative,,,
1226.0,went there after hearing a lot of buzz about this being a go to north eastern place  but such a bummer ,,,,,Negative
1226.0,ambience    star  the place doesn t not have exhaust or ventilation and has only   acs which seemed to not work ,,,Negative,,
1226.0,it s connected to the kitchen so was smelling of the meat ,,,Negative,,
1226.0,no music ,,,Negative,,
1226.0,we were asked to occupy a table which had used plates still kept ,,,Negative,,
1226.0,service    star ,,,,Positive,
1226.0,the staff didn t seem very welcoming and had be prompted twice or thrice before they attended to us ,,,,Negative,
1226.0,not to mention it took them    minutes just to get the mocktails we already read about their slow service so was expecting it  non veg food  momos were very average like that of zomos may be ,,,,Negative,
1226.0,veg  the ramyum noodles were literally veg maggi ,,Negative,,,
1226.0,very misleading name and price ,,,,Negative,
1226.0,veg kimchi rice was stale and smelling of old rice ,,Negative,,,
1227.0,over hyped place no neatness ,,,,,Negative
1227.0,they open branches in hot places so that they will get the customers no matter what especially this dlf branch is no where preferable ,,,,,Negative
1228.0,the ambience was good ,,,Positive,,
1228.0,starter was delicious but they didn t provide salad and sufficient chatney ,,Positive,,Negative,
1228.0,for biriyani they took much time and at the end when we tasted it we felt disappointed ,,Negative,,Negative,
1228.0,but the rice was sour ,,Negative,,,
1228.0,with biriyani the gravy they provided didn t have any salt ,,,,Negative,
1228.0,one of my friends ordered jaljeera which was the most humorous and worthless thing they provided and it took    rs ,,Negative,,,
1228.0,and about the service  it was good till we pay the bill ,,,,Positive,
1228.0,but they showed some vague reasons and showed reluctance to accept ,,,,Negative,
1228.0,overall we weren t satisfied at all ,,,,,Negative
1229.0,ordered paneer lababdar but der was hardly   pieces of panner on it ,,Negative,,,
1229.0,disgusting,,,,,Negative
1230.0,highly disappointing ,,,,,Negative
1230.0,firstly  they quoted wrong price over the call ,,,,Negative,
1230.0,on top of it  there were very limited items in the buffet ,,Negative,,,
1230.0,we felt a road side dhaba would have been better ,,Negative,,,
1231.0,the oil was dripping uncontrollably from the box  the packing was bad ,,Negative,,Negative,
1231.0,the naans were full of oil  the plastic was full of oil  the sabji was so spicy that we could not finish it ,,Negative,,Negative,
1231.0,basically waste of money ,,,,,Negative
1232.0,food is good  but for the second time around they didn t send us our complete order ,,Positive,,Negative,
1232.0,also got daal tadka instead of daal makhani ,,,,Negative,
1232.0,not sure if its the ramadaan rush  but now twice in a row our online orders thru zomato have been messed up ,,,,Negative,
1232.0,probably will avoid going forward ,,,,,Negative
1233.0,service was particularly slow on this friday night ,,,,Negative,
1233.0,servings were really small and the food was cold ,,Negative,,,
1233.0,they did mess up one of the orders and didn t change it either ,,,,Negative,
1233.0,room for much improvement ,,,Negative,,
1234.0,chicken taste is not good,,Negative,,,
1235.0,this place has quite a ambience to visit for   but that s all you ll get at this place ,,Positive,,,
1235.0,they have just two attendant in total to take your order and service time is very poor  i almost forgot i ordered something ,,,,Negative,
1235.0,the taste is not worth the wait and the dj makes it even more worse by his songs ,,Negative,Negative,Negative,
1236.0,went there with good expectations   coz i have been here many tyms but felt of writing a review today coz food was baad   mainly standards   bun maska in initial days it used be best but now i didn t find it great  but ok   kheema pav was today best i can say   had bheja n roti as well  it was well cooked but missed the actual flavours of the spices  i some how liked the hyderabadi style but one can try irani style here  i didn t like the irani chai one can get a better chai outside small local cafes   well maintained ambience   overall it was average with taste n flavors   may i need to try some more dishes     ,,Negative,Positive,,
1237.0,north indian thali was okay ,,Neutral,,,
1237.0,however  they still used both the ingredients ,,,,Negative,
1238.0,too much plastic for packing       of whole order were just plastic covers ,,,,Negative,
1239.0,nice tatra pack is missing and also poha is dry undercooked,,Negative,,Negative,
1240.0,food quality was not good as expected,,Negative,,,
1241.0,low quality and quantity,,Negative,,,
1243.0,ordering donuts from this place is a nightmare ,,,,,Negative
1243.0,they always forget to heat the donuts even after insisting ,,,,Negative,
1244.0,i am from mumbai  visited this place after hearing wonderful reviews  and purchased for      too however i have never seen such an arrogant and non courteous staff ,,,,Negative,
1244.0,hope your good baking doesn t bring in arrogance,,,,Negative,
1245.0,ambience is pretty good that has cobination of modern furniture and ancient india decorum ,,,Positive,,
1245.0,very disappointed with the kind of knowledge they have about their dishes ,,,,Negative,
1245.0,they were not trained enough to speak confidently about the items mentioned in the menu ,,,,Negative,
1245.0,plating looks good but tastewise  it was well below average ,,Negative,,Positive,
1245.0,the stuffing was too dry  even with the chutney  it doesn t taste good ,,Negative,,,
1245.0,quantity was enough to serve two people  but again  don t expect the taste ,,Negative,,,
1245.0,curry was too ordinary with lot of curry leaves in it ,,Neutral,,,
1245.0,after having such a horrifying experience  they included    tips for their waiters ,,,,Negative,
1245.0,think before you visit this place ,,,,,Negative
1247.0,arrived nice and hot and on time  problem  the fried kurkure felt fried on stale oil  the coating was really thick tasted more of the oil coating than anything inside ,,Negative,,Positive,
1247.0,antways i tried the red sauce   thinking that sauce may help with thick coating and oil  sauce was realy confusing zero taste just sodium thats it ,,Negative,,,
1247.0,lessons  never order fried momos again ever ,,,,,Negative
1248.0,never order full meals online    at the end you will get disappointed with incorrect items   from the given menu    expected alot by seeings reviews ,,,,Negative,
1249.0,too oily for my liking,,Negative,,,
1250.0,i have ordered a biriyani and the restaurant took close to one hour just to prepare the food ,,,,Negative,
1250.0,and the zomato delivery person took    more mins to deliver the food ,,,,Negative,
1250.0,one of the worst service from zomato ,,,,Negative,
1250.0,when it comes to the food  it was pretty average ,,Neutral,,,
1250.0,i dint feel like i am having a biriyani ,,Negative,,,
1251.0,very laid back staff ,,,,Negative,
1251.0,we ordered chilli toast and got the order served after half an hour ,,,,Negative,
1251.0,just to toast a piece of bread they took    minutes literally ,,,,Negative,
1251.0,i had to follow up twice or thrice ,,,,Negative,
1251.0,the cocktail wasn t better either ,,Negative,,,
1251.0,it tasted just like water with a hint of vodka ,,Negative,,,
1251.0,and i had to ask for sauces to go with the fish i ordered ,,,,Negative,
1251.0,no side fresh salads or sauces to go with the main ,,,,Negative,
1251.0,the fish tasted good  though it was slightly over cooked ,,Positive,,,
1251.0,they can improve their service levels to a great extent ,,,,Negative,
1251.0,and also their food ,,Negative,,,
1251.0,it somehow gave me a feeling that they didn t bother about the customers ,,,,Negative,
1252.0,food is over rated and service should be improve a lot food item cost doesn t match provided taste ,,Negative,,,
1252.0,over all bad experience management has to look into these issues ,,,,Negative,
1253.0,food taste is average and limited options ,,Neutral,,,
1253.0,service is really bad ,,,,Negative,
1253.0,none of them show up when we are asking for food  water etc ,,,,Negative,
1253.0,but we got the bill on our table while we are still having deserts ,,,,Negative,
1254.0,hazelnut coffee     poor quality  the coffee already had sugar and it was watery ,,Negative,,,
1254.0,this was my  nd time here and the place still disappointed me ,,,,,Negative
1254.0,might not come again  ,,,,,Negative
1255.0,chicken broccoli melt is basically garlic bread with a mixture of chicken  broccoli and cheese on top ,,Neutral,,,
1255.0,the plate served to us is cold  we were told it is in fact properly cooked but broccoli tasted raw ,,Negative,,,
1255.0,luckily the chicken is not raw ,,Neutral,,,
1255.0,bread is very hard and difficult to eat ,,Negative,,,
1255.0,overall not worth ordering ,,Negative,,,
1255.0,stuffed bell peppers   tasted just ok ,,Neutral,,,
1255.0,but loads of spinach used as stuffing and it kind of brought down the taste as a whole ,,Negative,,,
1255.0,tasted fine ,,Neutral,,,
1255.0,cabonara chicken pasta   so bland and tasteless we were not able to complete this ,,Negative,,,
1255.0,so much for the authentic   types of european cheese used for this one but the taste is very weird and the after taste is really bad ,,Negative,,,
1255.0,overall  very bad experience which is forcing me to give a rating below   ,,,,,Negative
1256.0,staff was polite and friendly  but the food and the taste was below par   ,,Negative,,Positive,
1256.0,the burgers were decent but their wings are baaaad     at the time we went even the power was also not there ,,Negative,,,
1257.0,shawarma is not tasty ,,Negative,,,
1257.0,need to improve in taste,,Negative,,,
1258.0,dry fruits was not upto the mark   taste was not good ,,Negative,,,
1259.0,the staff is not at all polite ,,,,Negative,
1259.0,even we got dirty plates ,,,,Negative,
